Название;Место;Дата проведения;Дедлайн;Область науки;Почта;Ссылка
II научно-практическая конференция аспирантов и молодых ученых АО «НИЦ «Строительство».;Россия;22.09.21 — 22.09.21;15.08.2021;Технические;Scientific_Secretary@cstroy.ru;none
"VIII Международная научно-техническая конференция ""Альтернативные источники сырья и топлива""";Беларусь;12.10.21 — 14.10.21;15.08.2021;Технические;mixa@ichnm.by;none
XXII международная научно-практическая конференция «Научно-теоретические подходы и их применение в практике инструментальной детекции лжи в борьбе с преступностью и работе с кадрами»;Россия;11.10.21 — 17.10.21;15.08.2021;Психологические;info@expert-lie.ru;none
"XII международная конференция Школы философии и культурологии НИУ ВШЭ ""Философия и культура в период пандемии""";Россия;30.09.21 — 03.10.21;15.08.2021;Философские;mstorchevoy@hse.ru;none
ХV-ой ежегодная Международная научно-практическая конференция «Передовые технологии в горном деле»;Киргизстан;07.09.21 — 10.09.21;15.08.2021;Геолого-минералогические;office@blastmaker.kg;none
Международная конференция «Историк и власть, историк во власти: к 800-летию Альфонсо X Мудрого»;Россия;20.09.21 — 23.09.21;15.08.2021;Исторические и археология;alfonso.el.sabio.conferencia@gmail.com;none
ХII Всероссийская конференция Ассоциации естественно-исторических музеев РФ Российского комитета Международного совета музеев;Россия;10.11.21 — 12.11.21;15.08.2021;Исторические и археология;natus@darwin.museum.ru;none
Дев’яті Міжнародні Шевченківські читання «Створення нової наукової біографії Тараса Шевченка: концептуальні підходи та дослідницькі стратегії»;Украина;23.09.21 — 23.09.21;15.08.2021;Филологические;svitlana_brizhit@ukr.net;none
Международная научно-практическая конференция «Библиотечная наука в XXI веке: содержание, организация, цифровизация и наукометрия»;Россия;19.10.21 — 20.10.21;15.08.2021;Филологические;science@rsl.ru;https://www.rsl.ru/ru/events/afisha/conf/bibliotechnayanauka-v-xxi-veke
"Всероссийская конференция ""Математические основы информатики""";Россия;03.12.21 — 08.12.21;15.08.2021;Физико-математические;mfcsics21@tversu.ru;none
XVII Всероссийский семинар с международным участием Динамика Многофазных Сред (ДМС-2021);Россия;27.08.21 — 04.09.21;15.08.2021;Физико-математические;akademnsk1001@gmail.com;none
Науково-практична конференція з міжнародною участю «Урологія, андрологія, нефрологія - досягнення, проблеми, шляхи вирішення»;Украина;03.09.21 — 04.09.21;15.08.2021;Медицинские;urology.edu.ua@gmail.com;none
Межрегиональная научно-практическая конференция, посвященная памяти д.м.н., профессора Капсаргина Федор Петровича «Енисейский урологический форум»;Россия;19.11.21 — 20.11.21;15.08.2021;Медицинские;krasgmu.urology@mail.ru;none
10-я Всероссийская конференция «Противоречия современной кардиологии:спорные и нерешенные вопросы»;Россия;12.11.21 — 13.11.21;15.08.2021;Медицинские;samaracardio@micepartner.ru;none
6th IEEE International Conference on Big Data Intelligence and Computing (IEEE DataCom 2021);Китай;23.10.21 — 25.10.21;15.08.2021;Компьютерные;datacom2021@hzu.edu.cn;none
4th International Food and Nutrition Conference;Сингапур;23.09.21 — 24.09.21;16.08.2021;Сельскохозяйственные;foodandnutrition@bioleagus.com;none
4th International Conference on Food and Nutrition;Сингапур;23.09.21 — 24.09.21;16.08.2021;Сельскохозяйственные;bioleaguesevents@gmail.com;none
III Международная научная конференция ведущих научных школ в области радиолокации, радионавигации и радиоэлектронных систем передачи информации «Шарыгинские чтения»;Россия;29.09.21 — 01.10.21;16.08.2021;Технические;eak@main.tusur.ru;none
LII Международная научно-практическая конференция «Научный форум: экономика и менеджмент»;Россия;16.08.21 — 16.08.21;16.08.2021;Экономические;economy@nauchforum.ru;none
XLIX Международная научно-практическая конференция «Современная психология и педагогика: проблемы и решения»;Россия;16.08.21 — 16.08.21;16.08.2021;Педагогические;pedkonf@sibac.info;none
XI Международная научная конференция «Традиции и современное состояние культуры и искусств»;Беларусь;09.09.21 — 10.09.21;16.08.2021;Филологические;konferens@tut.by;none
Девятая международная научно-техническая конференция «Актуальные проблемы создания космических систем дистанционного зондирования Земли»;Россия;29.09.21 — 29.09.21;16.08.2021;Физико-математические;vniiem@vniiem.ru;none
3rd Indo oncology summit;Индия;25.09.21 — 26.09.21;17.08.2021;Науки о Земле;bioleaguesevents@gmqil.com;none
LI международная научно-практическая конференция «Технические науки: проблемы и решения»;Россия;17.08.21 — 17.08.21;17.08.2021;Нанотехнологии;technical@internauka.org;none
IX Українська наукова конференція з фізики напівпровідників (УНКФН-9) присвячена 60-річчю Інституту фізики напівпровідників імені В.Є. Лашкарьова НАН України.;Украина;28.09.21 — 03.10.21;17.08.2021;Физико-математические;solidstateconference@karazin.ua;none
"Международная научно-практическая конференция ""МИРОВАЯ НАУКА 2021.  МЕЖДУНАРОДНЫЕ КОММУНИКАЦИИ""";Россия;18.08.21 — 18.08.21;18.08.2021;Филологические;orgkonf@yandex.ru;none
XLIX Международная научно-практическая конференция «Актуальные проблемы юриспруденции»;Россия;18.08.21 — 18.08.21;18.08.2021;Юридические;lawkonf@sibac.info;none
2021 International Conference on Electric Vehicle and Vehicle Engineering (CEVVE 2021);Германия;17.09.21 — 19.09.21;19.08.2021;Технические;cevve@iaeeee.org;none
5th International Conference on Circuits, Systems and Devices (ICCSD 2021);Китай;29.10.21 — 31.10.21;20.08.2021;Технические;iccsd@academic.net;none
5th International Conference on Power Electronics Systems and Applications (ICPESA 2021);Китай;29.10.21 — 31.10.21;20.08.2021;Технические;icpesa@zhconf.ac.cn;http://www.icpesa.org
7th International Conference on Communication and Information Processing (ICCIP 2021);Китай;22.10.21 — 24.10.21;20.08.2021;Компьютерные;iccip_iccip@young.ac.cn;none
8th International Scientific Conference SWS Florence ART 2021 – THE MAGIC OF THE RENAISSANCE;Италия;25.10.21 — 27.10.21;20.08.2021;Филологические;scienceart@sgemflorence.org;none
3rd International Conference on Circuits and Systems (ICCS 2021);Китай;29.10.21 — 31.10.21;20.08.2021;Технические;iccs@chairmen.org;none
6th International Conference on Robotics and Automation Engineering (ICRAE 2021);Китай;19.11.21 — 22.11.21;20.08.2021;Компьютерные;icraeconference@vip.163.com;none
2021 International Conference on Big Data and Information Technology (BDIT 2021);Китай;22.10.21 — 24.10.21;20.08.2021;Компьютерные;bdit2021@163.com;http://www.bdit.org
2nd High Performance Computing and Computational Intelligence Conference (HPCCI 2021);Китай;22.10.21 — 24.10.21;20.08.2021;Компьютерные;hpcci_chengdu@vip.163.com;none
2021 Internet of Things Workshop (IOTW 2021);Китай;29.10.21 — 31.10.21;20.08.2021;Технические;iotw_conf@yeah.net;none
10th International Conference on Networks, Communication and Computing (ICNCC 2021);Китай;10.12.21 — 12.12.21;20.08.2021;Компьютерные;icncc@zhconf.ac.cn;none
6th International Conference on Network Security (ICNS 2021);Китай;10.12.21 — 12.12.21;20.08.2021;Компьютерные;icns@zhconf.ac.cn;none
13th International Conference on Information Management and Engineering (ICIME 2021);Китай;23.10.21 — 25.10.21;20.08.2021;Компьютерные;icime@iact.net;none
4th International Conference on Information Hiding and Image Processing (IHIP 2021);Китай;23.10.21 — 25.10.21;20.08.2021;Компьютерные;ihip@iact.net;none
6th International Conference on Frontiers of Composite Materials (ICFCM 2021);Австралия;20.11.21 — 22.11.21;20.08.2021;Технические;icfcm@saise.org;none
3rd International Conference on Engineering Materials (ICEM 2021);Китай;26.11.21 — 28.11.21;20.08.2021;Технические;icem@cbees.net;none
9th International Conference on Nanomaterials and Materials Engineering (ICNME 2021);Китай;26.11.21 — 28.11.21;20.08.2021;Технические;icnme@cbees.net;none
4th International Conference on Virtual Reality Technology (ICVRT 2021);Китай;19.11.21 — 21.11.21;20.08.2021;Компьютерные;icvrt@iacsit.net;none
3rd International Conference on Video, Signal and Image Processing (VSIP 2021);Китай;19.11.21 — 21.11.21;20.08.2021;Компьютерные;vsip@iacsit.net;none
8th International Conference on Agriculture and Biotechnology (ICABT 2021);Япония;16.12.21 — 18.12.21;20.08.2021;Биологические;icabt@cbees.net;http://www.icabt.org/
8th International Conference on Agriculture and Biotechnology (ICABT 2021);Япония;16.12.21 — 18.12.21;20.08.2021;Биологические;icabt@cbees.net;http://www.icabt.org/
10th International Conference on Environment Science and Biotechnology (ICESB 2021);Япония;16.12.21 — 18.12.21;20.08.2021;Биологические;icesb@cbees.org;none
5th International Conference on Image and Graphics Processing (ICIGP 2022);Китай;07.01.22 — 09.01.22;20.08.2021;Компьютерные;icigp@iacsit.net;none
5th International Conference on Geoinformatics and Data Analysis (ICGDA 2022);Франция;21.01.22 — 23.01.22;20.08.2021;Компьютерные;icgda@iact.net;none
5th International Conference on Software and Services Engineering (ICSSE 2022);Франция;21.01.22 — 23.01.22;20.08.2021;Компьютерные;icsse@iact.net;none
2nd International Forum on Signal Processing (IFSP 2022);Китай;07.01.22 — 09.01.22;20.08.2021;Компьютерные;ifsp@iacsit.org;none
8th International Conference on Electrical Engineering, Control and Robotics (EECR 2022);Китай;13.01.22 — 15.01.22;20.08.2021;Технические;eecr_conf@robotics.ac.cn;none
5th International Conference on Intelligent Control and Computing (ICICC 2022);Китай;13.01.22 — 15.01.22;20.08.2021;Компьютерные;icicc_conf@robotics.ac.cn;none
Международная научно-практическая конференция  «Методика преподавания иностранных языков 2.0: реальное и виртуальное»;Россия;17.06.21 — 17.06.21;20.08.2021;Социологические;info@nicstatus.com;none
2nd International Conference on Artificial Intelligence in Education (ICAIE 2022);Китай;06.01.22 — 08.01.22;20.08.2021;Компьютерные;icaie_conf@163.com;none
11th International Conference on Educational and Information Technology (ICEIT 2022);Китай;06.01.22 — 08.01.22;20.08.2021;Компьютерные;iceit_conf@outlook.com;none
7th International Conference on Robotics and Artificial Intelligence (ICRAI 2021);Китай;19.11.22 — 22.11.22;20.08.2021;Компьютерные;icraiconf@outlook.com;none
III Научно-Богословская Конференция по Византинистике «Русско-Византийский Логос»;Россия;14.09.21 — 15.09.21;20.08.2021;Философские;igivan74@mail.ru;none
Международный симпозиум «Трансплантация гемопоэтических стволовых клеток. Генная и клеточная терапия»;Россия;16.09.21 — 18.09.21;20.08.2021;Биологические;http;http://rgmm.info/about
Науково-практична конференція молодих вчених «Сучасна онкологія: від фундаментальних досліджень до нових терапевтичних підходів»;Украина;12.10.21 — 13.10.21;20.08.2021;Биологические;ieporconference@gmail.com;none
Вторая Всероссийская научно-практическая очно-заочной конференции с международным участием «Актуальные гигиенические аспекты нанотоксикологии: теоретические основы, идентификация опасности для здоровья и пути её снижения»;Россия;20.10.21 — 21.10.21;20.08.2021;Нанотехнологии;nir@ymrc.ru;none
Общероссийская конференция с международным участием «Современные перспективы в исследовании хитина и хитозана» (РосХит-2021) и 10-й съезд Российского Хитинового Общества;Россия;15.09.21 — 19.09.21;20.08.2021;Химические;roschit2021@mail.ru;none
II Международная научно-техническая конференция «Smart Energy Systems 2021»;Россия;21.09.21 — 24.09.21;20.08.2021;Технические;2021-ses@mail.ru;https://www.ncfu.ru/home/news/II-Mejdunarodnaya-nauchno-tehnicheskaya-konferenciya-Smart-Energy-Systems-2021/
ІІІ Міжнародна науково-практична конференція«Соціокультурні та психологічні виміри становлення особистості»;Украина;30.09.21 — 01.10.21;20.08.2021;Психологические;elena.blynova@gmail.com;none
Научный семинар «Цифровой поворот в социологии: от вызовов к возможностям»;Россия;09.09.21 — 09.09.21;20.08.2021;Социологические;o.sergeeva@socinst.ru;none
ІІІ науково-практична конференція «Бібліотека в умовах сучасності і конструювання майбутнього»;Украина;28.09.21 — 28.09.21;20.08.2021;Филологические;"admin@library.vn.ua; metod@library.vn.ua; zastupnik@library.vn.ua";none
Международная конференция «Мальцевские чтения»;Россия;20.09.21 — 24.09.21;20.08.2021;Физико-математические;malmeet@math.nsc.ru;none
"16-й Российский Национальный Конгресс с международным участием «Профессия и здоровье»; 7-й Всероссийский Съезд врачей-профпатологов";Россия;21.09.21 — 24.09.21;20.08.2021;Медицинские;presentation@oh-events.ru;none
Міжнародна науково-практична конференція «Здорове харчування дітей в Україні – запорука майбутнього нації. Стан та перспективи»;Украина;23.09.21 — 24.09.21;20.08.2021;Медицинские;аkutina@nuft.edu.ua;none
Международный научно-практический форум «Научно-педагогические школы терапии и профилактической медицины»;Россия;05.10.21 — 05.10.21;20.08.2021;Медицинские;info@ropniz.ru;none
Конгресс Российского общества урологов;Россия;23.09.21 — 25.09.21;20.08.2021;Медицинские;info@congress-rou.ru;none
Монография «Современные проблемы науки и общества»;Россия;25.08.21 — 25.08.21;20.08.2021;Технические;mon@naukaip.ru;none
14th ICTEL 2021 – International Conference on Teaching, Education & Learning, 23-24 August, Barcelona;Испания;23.08.21 — 24.08.21;21.08.2021;Педагогические;convener@eurasiaresearch.info;none
LONELINESS - 3rd International Interdisciplinary Conference (Online);Польша;09.09.21 — 10.09.21;21.08.2021;Филологические;lonelinessconference@gmail.com;https://www.lonelinessconference.com/
4th Barcelona – International Conference on Social Science & Humanities (ICSSH), 24-25 August 2021;Испания;24.08.21 — 25.08.21;22.08.2021;Социологические;convener@eurasiaresearch.info;none
2021 – XIIIth International Conference on Business, Economics, Law, Language & Psychology (ICBELLP), 25-26 August, Barcelona;Испания;25.08.21 — 26.08.21;23.08.2021;Экономические;convener@eurasiaresearch.info;none
"VI Международная заочная научно-практическая конференция ""ПЕРСПЕКТИВЫ РАЗВИТИЯ ТРАНСПОРТНОГО КОМПЛЕКСА""";Беларусь;01.11.21 — 01.11.21;23.08.2021;Технические;us@niit.by;none
ІV науково-практична конференція “Аерокосмічні технології в Україні: проблеми та перспективи”;Украина;09.09.21 — 10.09.21;23.08.2021;Технические;sciencespacecenter@gmail.com;none
4th ICSTR Barcelona – International Conference on Science & Technology Research, 26-27 August 2021;Испания;26.08.21 — 27.08.21;24.08.2021;Технические;convener@eurasiaresearch.info;none
LI международная научно-практическая конференция  «Современная медицина: новые подходы и актуальные исследования»;Россия;24.08.21 — 24.08.21;24.08.2021;Медицинские;medicine@internauka.org;none
Международная научно-практическая конференция «Развитие и современные проблемы аквакультуры»;Россия;20.09.21 — 24.09.21;24.08.2021;Биологические;aquaculture@sci.donstu.ru;none
2021 – 13th International Conference on Research in Life-Sciences & Healthcare (ICRLSH), 27-28 August, Barcelona;Испания;27.08.21 — 28.08.21;25.08.2021;Медицинские;convener@eurasiaresearch.info;none
13th International Conference on Education Technology and Computers (ICETC 2021);Китай;22.10.21 — 25.10.21;25.08.2021;Компьютерные;icetc@iacsit.org;http://www.icetc.org
12th International Conference on Distance Learning and Education (ICDLE 2021);Китай;22.10.21 — 25.10.21;25.08.2021;Компьютерные;icdle@iacsit.org;none
3rd International Conference on Computer, Software Engineering and Applications (CSEA 2021);Китай;27.11.21 — 29.11.21;25.08.2021;Компьютерные;csea@academic.net;none
4th International Conference on Computing and Big Data (ICCBD 2021);Китай;27.11.21 — 29.11.21;25.08.2021;Компьютерные;iccbd@academic.net;none
6th International Conference on Design and Manufacturing Engineering (ICDME 2021);Тайланд;26.11.21 — 28.11.21;25.08.2021;Технические;icdme@saise.org;none
6th International Conference on Materials Engineering and Nanotechnology (ICMEN 2021);Тайланд;26.11.21 — 28.11.21;25.08.2021;Технические;icmen@zhconf.ac.cn;http://www.icmen.org
6th International Conference on Cryptography, Security and Privacy (CSP 2022);Китай;14.01.22 — 16.01.22;25.08.2021;Технические;iccsp_conf@126.com;none
7th International Conference on Multimedia and Image Processing (ICMIP 2022);Китай;14.01.21 — 16.01.21;25.08.2021;Компьютерные;icmip2016@vip.163.com;none
12th Asia Conference on Mechanical and Aerospace Engineering (ACMAE 2021);Китай;29.12.21 — 31.12.21;25.08.2021;Технические;secretary_acmae@icmae.org;none
3rd International Conference on Artificial Intelligence in Electronics Engineering (AIEE 2022);Тайланд;11.01.22 — 13.01.22;25.08.2021;Компьютерные;aiee2021@163.com;none
8th International Conference on Computing and Data Engineering (ICCDE 2022);Тайланд;11.01.22 — 13.01.22;25.08.2021;Компьютерные;iccde@academic.net;none
14th International Conference on Future Computer and Communication (ICFCC 2022);Сингапур;18.02.22 — 20.02.22;25.08.2021;Компьютерные;icfcc@sciei.org;none
5th International Conference on Machine Vision and Applications (ICMVA 2022);Сингапур;18.02.22 — 20.02.22;25.08.2021;Компьютерные;icmva@sciei.org;none
8th International Conference on Mechatronics and Robotics Engineering (ICMRE 2022);Германия;10.02.22 — 12.02.22;25.08.2021;Компьютерные;secretary@icmre.org;none
10th International Conference on System Modeling and Optimization (ICSMO 2022);Германия;10.02.22 — 12.02.22;25.08.2021;Компьютерные;icsmo@iacsit.org;none
12th International Conference on Applied Physics and Mathematics (ICAPM 2022);Сингапур;18.02.22 — 20.02.22;25.08.2021;Физико-математические;icapm@sciei.org;none
Х Міжнародна спеціалізована науково-практична конференція «Тренди Lean-виробництва та пакування харчової продукції»;Украина;18.09.21 — 18.09.21;25.08.2021;Технические;info@nuft.edu.ua;https://nuft.edu.ua/news/anonsy-podij/x-mizhnarodna-speczializovana-naukovo-praktichna-konferenczi
Пятнадцатая международная научно-практическая конференция  «Профессиональное лингвообразование».;Россия;01.09.21 — 30.09.21;25.08.2021;Филологические;konf-lingvo@mail.ru;none
Международная научная конференция, посвященная 126-й годовщине со дня рождения С. А. Есенина «Есенин и литературный процесс первой трети ХХ века»;Россия;16.09.21 — 18.09.21;25.08.2021;Филологические;esenin-konf@rambler.ru;none
Международная конференция «Иванниковские чтения»;Россия;24.09.21 — 25.09.21;25.08.2021;Физико-математические;scsec@ispras.ru;none
Науково-практична конференція з міжнародною участю «Відкриваємо нове сторіччя: здобутки та перспективи», присвячена 100-річчю Національного фармацевтичного університету;Украина;10.09.21 — 10.09.21;25.08.2021;Медицинские;nuph100@nuph.edu.ua;none
Монография «Актуальные вопросы современной науки и образования»;Россия;30.08.21 — 30.08.21;25.08.2021;Технические;mon@naukaip.ru;none
International Conference on Plant and Molecular Biology (PMB 2021) webinar;США;26.08.21 — 28.08.21;26.08.2021;Сельскохозяйственные;plant@hazelgroup.org;none
Euro-Global Conference on Biotechnology and Bioengineering (ECBB 2021);Италия;06.09.21 — 08.09.21;27.08.2021;Технические;biotechnology@magnusmeetings.com;https://biotechnology-conferences.magnusgroup.org/
Euro-Global Conference on Biotechnology and Bioengineering (ECBB 2021);Италия;06.09.21 — 08.09.21;27.08.2021;Биологические;biotechnology@magnusmeetings.com;none
L международная заочная научно-практическая конференция «Педагогика и психология в современном мире: теоретические и практические исследования»;Россия;27.08.21 — 27.08.21;27.08.2021;Педагогические;pedagogy@internauka.org;none
V Міжнародна міждисциплінарна заочна конференція «Народне мистецтво ХХІ століття: актуальні напрямки досліджень» до 30-ї річниці Незалежності України;Украина;29.10.21 — 29.10.21;29.08.2021;Искусствоведение;folkarts.lviv@gmail.com;none
MEMORY, TRAUMA  AND RECOVERY - International Interdisciplinary Conference (Online);Польша;16.09.21 — 17.09.21;29.08.2021;Психологические;conferencememory@gmail.com;none
Европейское научное обозрение. Выпуск №7-8/2021;Австрия;30.08.21 — 30.08.21;30.08.2021;Технические;pub@ppublishing.org;none
2nd Edition of Cardiology World Conference;Франция;17.09.21 — 18.09.21;30.08.2021;Медицинские;cardiology@magnusmeetings.com;none
Австрийский журнал гуманитарных и общественных наук 7-8/2021;Австрия;30.08.21 — 30.08.21;30.08.2021;Науки о Земле;pub@ppublishing.org;none
International Nutrition Research Conference;Италия;09.09.21 — 11.09.21;30.08.2021;Медицинские;nutrition@magnus-meeting.com;none
2nd Edition of International Conference on Traditional Medicine, Ethnomedicine and Natural Therapies;Франция;24.09.21 — 25.09.21;30.08.2021;Медицинские;traditionalmedicine@conferencemails.com;none
The 20th annual Chemistry Graduate Student Symposium;N/A;20.05.21 — 20.05.21;30.08.2021;Химические;chemistry@umn.edu;none
2021 World Critical Care and Anesthesiology Conference;Тайланд;19.11.21 — 20.11.20;30.08.2021;Медицинские;criticalcare@episirus.org;none
III Межрегиональная конференция «Актуальные вопросы бухгалтерского и налогового учета. Отчетность за 9 месяцев»;Россия;06.09.21 — 10.09.21;30.08.2021;Экономические;congress@ipbr.org;none
VII Международная научная конференция «Институциональная трансформация экономики: человек и социум»;Россия;21.10.21 — 23.10.21;30.08.2021;Экономические;ite2021@mail.ru;none
Всероссийская молодежная научная конференция с участием иностранных ученых «Трофимуковские чтения - 2021»;Россия;11.10.21 — 16.10.21;30.08.2021;Геолого-минералогические;Trofimuk@ipgg.sbras.ru;none
Девятая Всероссийская конференция с международным участием «Фундаментальное и прикладное координатно-временное и навигационное обеспечение» (КВНО-2021);Россия;13.09.21 — 17.09.21;30.08.2021;Физико-математические;kvno2021@iaaras.ru;none
"РОСОМЕД-2021 – X Юбилейный съезд РОСОМЕД и Международная конференция ""Симуляционное обучение в медицине: опыт, развитие, инновации""";Россия;16.09.21 — 18.09.21;30.08.2021;Медицинские;post@rosomed.ru;none
World Symposium on Cardiology & Cardivascular Medicine;Великобритания;13.09.21 — 15.09.21;31.08.2021;Медицинские;cardiology@frontiersmeetings.com;none
2021 International Joint Conference on Environmental Engineering and Biotechnology (CoEEB 2021);Корея;15.10.21 — 17.10.21;31.08.2021;Технические;coeeb@iaeeee.org;none
2021 International Joint Conference on Smart Grid and Energy (CoSGE 2021);Корея;15.10.21 — 17.10.21;31.08.2021;Технические;cosge@iaeeee.org;none
2021 International Conference on Environmental, Industrial and Energy Engineering (CoEIEE 2021);Корея;15.10.21 — 17.10.21;31.08.2021;Технические;coeiee@iaeeee.org;none
3rd Edition of Euro-Global Conference on Food Science and Technology;Франция;30.09.21 — 02.10.21;31.08.2021;Сельскохозяйственные;food@mgconference.com;none
4th International Conference on Neurology and Brain Disorders;Италия;09.09.21 — 11.09.21;31.08.2021;Медицинские;neurology@magnusscigroup.com;https://neurologycongress.com/
12th International Symposium on Parallel Architectures, Algorithms and Programming (PAAP 2021);Китай;10.12.21 — 12.12.21;31.08.2021;Технические;paap2021@yaang.cn;none
“Fifty Shades of Language” International Conference;Великобритания;27.11.21 — 28.11.21;31.08.2021;Филологические;language@lcir.co.uk;none
The 4th International Symposium on Hydrogen Energy and Energy Technologies(HEET 2021);Япония;19.11.21 — 20.11.21;31.08.2021;Технические;conf@heet-18.org;none
III Международная конференция «Синергия языков и культур: междисциплинарные исследования»;Россия;23.09.21 — 24.09.21;31.08.2021;Филологические;synergy@spbu.ru;none
Міжнародна наукова конференція «Леся Українка і Крим»;Украина;21.10.21 — 28.10.21;31.08.2021;Исторические и археология;dmytro.gordiyenko@gmail.com;none
Научно-учебная конференция с международным участием «Флора Дальнего Востока: практика и перспективы и спользования»,;Россия;01.10.21 — 18.10.21;31.08.2021;Биологические;natashavm@mail.ru;none
Третья школа молодых ученых «Проточная цитометрия и молекулярная филогения растений»;Россия;24.09.21 — 25.09.21;31.08.2021;Биологические;flow-asu@mail.ru;http://konf.asu.ru/kamelin/?news=276
"Международная научно-практическая конференция ""Проблемы территориального развития Арктической зоны и пути их решения""";Россия;29.09.21 — 30.09.21;31.08.2021;Технические;unr@spbgasu.ru;none
Всероссийская научно-практическая конференция с международным участием  «Современная иммунопрофилактика: вызовы, возможности, перспективы»;Россия;07.10.21 — 08.10.21;31.08.2021;Медицинские;Lvov.m.g@inbox.ru;none
ХІV Всеукраїнська іторико-краєзнавча конференція учнівської та студентської молоді з міжнародною участю «Південно-Східна Україна: зі стародавності у ХХІ століття»;Украина;20.11.21 — 30.11.21;31.08.2021;Исторические и археология;shidoctk@gmail.com;none
Тихоокеанский юридический форум 2021  «Право, его применение и реализация в эпоху глобальных вызовов и меняющейся реальности»;Россия;08.10.21 — 08.10.21;31.08.2021;Юридические;timofeev.vv@dvfu.ru;none
XІІ Міжнародна конференція «Проблеми теплофізики та теплоенергетики»;Украина;26.10.21 — 27.10.21;31.08.2021;Физико-математические;plir@ittf.kiev.ua;none
I Конгресс «Безопасность в анестезиологии и интенсивной терапии», посвященный памяти академика РАН Бунятяна А.А.;Россия;30.09.21 — 02.10.21;31.08.2021;Медицинские;anesth1@med.ru;none
8th Asia International Symposium On Mechatronics (AISM 2021);Китай;16.12.21 — 19.12.21;31.08.2021;Компьютерные;aism8th@163.com;none
4th Edition of International Cancer Conference;Франция;17.09.21 — 18.09.21;01.09.2021;Медицинские;cancer@magnusgroupllc.com;none
Solid Tumors Therapeutics (EUSTM-2021) | 8th Annual Congress of the European Society for Translational Medicine;N/A;20.09.21 — 26.09.21;01.09.2021;Биологические;eustm-2021@eutranslationalmedicine.org;none
Ukrainian Gaming Week 2021;Украина;21.09.21 — 22.09.21;01.09.2021;Экономические;y.lyubinskaya@smileexpo.team;none
OpenBio-2021;Россия;05.10.21 — 08.10.21;01.09.2021;Медицинские;openbio@openbio.ru;none
7th International Conference on Composite Materials and Material Engineering (ICCMME 2022);Тайланд;08.01.22 — 10.01.22;01.09.2021;Технические;iccmme@saise.org;none
5th International Conference on Smart Materials Applications (ICSMA 2022);Тайланд;08.01.22 — 10.01.22;01.09.2021;Технические;icsma@saise.org;none
9th International Conference on Wireless Communication and Sensor Networks (icWCSN 2022);Китай;11.01.22 — 13.01.22;01.09.2021;Технические;icwcsn_conference@outlook.com;none
5th World Conference on Computing and Communication Technologies (WCCCT 2022);Китай;11.01.22 — 13.01.22;01.09.2021;Компьютерные;wccct_conf@outlook.com;none
8th International Conference on Automation, Robotics and Applications (ICARA 2022);Чехия;18.02.22 — 20.02.22;01.09.2021;Компьютерные;icara_conf@academic.net;none
2022 International Conference on Mechatronics and Electrical Engineering (MEEE 2022);Чехия;18.02.22 — 20.02.22;01.09.2021;Технические;meee_conf@robotics.ac.cn;none
10th International Conference on Communications and Broadband Networking (ICCBN 2022);Китай;25.02.22 — 27.02.22;01.09.2021;Компьютерные;iccbncontact@vip.163.com;none
5th International Conference on Communication Engineering and Technology (ICCET 2022);Китай;25.02.22 — 27.02.22;01.09.2021;Компьютерные;iccet@chairmen.org;none
международный медицинский журнал «MEDICUS» (№ 5 (41), сентябрь);Россия;30.06.21 — 01.09.21;01.09.2021;Медицинские;scimedicus@mail.ru;none
международный журнал «Путь науки» (№ 8 (90), июль);Россия;30.06.21 — 01.09.21;01.09.2021;Науки о Земле;sciway@mail.ru;none
2nd Euro Depression and Psychiatry Congress;Испания;27.09.21 — 28.09.21;02.09.2021;Медицинские;depression@plenareno.net;https://depression.plenareno.com
V Международная научная конференция молодых ученых «Инженерное и экономическое обеспечение деятельности транспорта и машиностроения»;Беларусь;19.11.21 — 19.11.21;02.09.2021;Нанотехнологии;fitm.conference@gmail.com;none
"Научно-практическая конференция на тему: ""Формирование и внедрение инновационных педагогических технологий""";Украина;03.09.21 — 04.09.21;03.09.2021;Педагогические;info@molodyvcheny.in.ua;none
15th ICTEL 2021 – International Conference on Teaching, Education & Learning, 06-07 September, London;Великобритания;06.09.21 — 07.09.21;04.09.2021;Педагогические;convener@eurasiaresearch.info;none
17th ICTEL 2021 – International Conference on Teaching, Education & Learning, 06-07 September, Rome;Италия;06.09.21 — 07.09.21;04.09.2021;Педагогические;convener@eurasiaresearch.info;none
Проблемы современного образования;Чехия;10.09.21 — 11.09.21;05.09.2021;Педагогические;sociosphere@yandex.ru;none
6th London – International Conference on Social Science & Humanities (ICSSH), 07-08 September 2021;Великобритания;07.09.21 — 08.09.21;05.09.2021;Социологические;convener@eurasiaresearch.info;none
4th Rome – International Conference on Social Science & Humanities (ICSSH), 07-08 September 2021;Италия;07.09.21 — 08.09.21;05.09.2021;Социологические;convener@eurasiaresearch.info;none
6th International Conference on Manufacturing Technologies (ICMT 2022);Сингапур;11.01.22 — 13.01.22;05.09.2021;Технические;icmt@saise.org;none
10th International Conference on Nano and Materials Science (ICNMS 2022);Сингапур;11.01.22 — 13.01.22;05.09.2021;Технические;icnms@saise.org;none
International Conference GENETIC ASPECTS OF LIFE QUALITY;Россия;27.09.21 — 29.09.21;05.09.2021;Сельскохозяйственные;genaspconf@gmail.com;none
