Название;Место;Форма участия;Дата;Дедлайн;Организатор;Почта;Ссылка
X Международная междисциплинарная конференция «Инновации и тенденции развития современной науки»;Испания, Мадрид;заочная;23 августа 2021 г. — 23 августа 2021 г.;23 августа 2021 г.;ООО «Интернаука»;spainconf@internauka.org;https://konferencii.ru/info/138059
Коллективная монография «Вопросы современной науки». Том 65;Россия, Москва;заочная;24 августа 2021 г. — 24 августа 2021 г.;24 августа 2021 г.;ООО «Интернаука»;mono@internauka.org;https://konferencii.ru/info/138056
LI Международная научно-практическая конференция «Современная медицина: новые подходы и актуальные исследования»;Россия, Москва;заочная;24 августа 2021 г. — 24 августа 2021 г.;24 августа 2021 г.;ООО «Интернаука»;medicine@internauka.org;https://konferencii.ru/info/138066
Международный научный конкурс психологической практики «Humanity – 2021»;Россия, Казань;заочная;24 августа 2021 г. — 29 августа 2021 г.;23 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/126259
XCIX Международная научно-практическая конференция гуманитарных и общественных наук «Роль культуры, науки и искусства в развитии социально-гуманитарного знания»;Россия, Казань;заочная;25 августа 2021 г. — 25 августа 2021 г.;24 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/126253
XXV Международная научно-техническая конференция «Информационно-вычислительные технологии и их приложения»;Россия, Пенза;очно-заочная;25 августа 2021 г. — 30 августа 2021 г.;25 августа 2021 г.;"Межотраслевой научно-информационный центр Пензенского государственного аграрного университета
";mnic@pgau.ru;https://konferencii.ru/info/136612
V Международная научно-практическая конференция «Экономика предприятий, регионов, стран: актуальные вопросы и современные аспекты»;Россия, Пенза;заочная;25 августа 2021 г. — 25 августа 2021 г.;25 августа 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/137634
V Международная научно-практическая конференция «Инновационные методы обучения и воспитания»;Россия, Пенза;заочная;25 августа 2021 г. — 25 августа 2021 г.;25 августа 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/137635
VI Международная научно-практическая конференция «Юриспруденция, государство и право: актуальные вопросы и современные аспекты»;Россия, Пенза;заочная;25 августа 2021 г. — 25 августа 2021 г.;25 августа 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/137636
XXXVIII Международный научно-исследовательский конкурс «Лучшая студенческая статья 2021»;Россия, Пенза;заочная;25 августа 2021 г. — 25 августа 2021 г.;25 августа 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138082
XXVI Международная научно-практическая конференция «Наука и инновации в XXI веке: актуальные вопросы, открытия и достижения»;Россия, Пенза;заочная;25 августа 2021 г. — 25 августа 2021 г.;25 августа 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138093
Монография «Современные проблемы науки и общества»;Россия, Пенза;заочная;25 августа 2021 г. — 25 августа 2021 г.;25 августа 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138224
LXVIII Международная научно-практическая конференция «Экспериментальные и теоретические исследования в современной науке»;Россия, Новосибирск;заочная;25 августа 2021 г. — 25 августа 2021 г.;25 августа 2021 г.;ООО «СибАК»;modernkonf@sibac.info;https://konferencii.ru/info/138127
12-я Международная конференция «Образование, исследования и развитие»;Болгария, Бургас;очно-заочная;25 августа 2021 г. — 28 августа 2021 г.;28 февраля 2021 г.;"Bulgarian Academy of Sciences; Union of Scientists in Bulgaria; Science & Education Foundation, Bulgaria; Sapporo University, Japan; Al-Farabi Kazakh National University, Kazakhstan; VUZF University, Bulgaria; Institute of Philosophy and Social and Political Studies of the Southern Federal University, Russia";office@sciencebg.net;https://konferencii.ru/info/136089
15-я Международная конференция «Язык, Личность и Общество»;Болгария, Бургас;очно-заочная;25 августа 2021 г. — 28 августа 2021 г.;28 февраля 2021 г.;"Bulgarian Academy of Sciences; Union of Scientists in Bulgaria; Science & Education Foundation, Bulgaria; Sapporo University, Japan; Institute of Philosophy and Social and Political Studies of the Southern Federal University, Russia";office@sciencebg.net;https://konferencii.ru/info/136090
Научный журнал «Студенческий вестник» № 31 (176);Россия, Москва;заочная;26 августа 2021 г. — 26 августа 2021 г.;26 августа 2021 г.;ООО «Интернаука»;studmagazine@internauka.org;https://konferencii.ru/info/138055
IX Международная научно-практическая конференция «Новая наука в новом мире: философское, социально-экономическое, культурологическое осмысление»;Россия, Петрозаводск;заочная;26 августа 2021 г. — 26 августа 2021 г.;26 августа 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/129235
V Международная научно-практическая конференция «Консолидация интеллектуальных ресурсов как фундамент развития современной науки» ;Россия, Петрозаводск;заочная;26 августа 2021 г. — 26 августа 2021 г.;26 августа 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/135069
XCIX Международная научно-практическая конференция «Пути повышения уровня правосознания и правовой грамотности в современном гражданском обществе»;Россия, Казань;заочная;26 августа 2021 г. — 26 августа 2021 г.;25 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/126254
L Международная научно-практическая конференция «Педагогика и психология в современном мире: теоретические и практические исследования»;Россия, Москва;заочная;27 августа 2021 г. — 27 августа 2021 г.;27 августа 2021 г.;ООО «Интернаука»;pedagogy@internauka.org;https://konferencii.ru/info/138065
XCIX Международная научно-практическая конференция «Развитие психологии и педагогики как интегративной сферы человековедения в современном обществе»;Россия, Казань;заочная;27 августа 2021 г. — 27 августа 2021 г.;26 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/126255
XIV Всероссийская научно-практическая конференция «Результаты современных научных исследований и разработок»;Россия, Пенза;заочная;27 августа 2021 г. — 27 августа 2021 г.;27 августа 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/136430
XCIX Международная научно-практическая конференция «Научная мысль в экономике и менеджменте XXI века»;Россия, Казань;заочная;28 августа 2021 г. — 28 августа 2021 г.;27 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/126256
Международный конкурс научной иллюстрации «PhotoScience – 2021»;Россия, Казань;заочная;28 августа 2021 г. — 28 августа 2021 г.;27 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/126260
Коллективная монография «Наука, общество, культура: проблемы и перспективы взаимодействия в современном мире»;Россия, Петрозаводск;заочная;29 августа 2021 г. — 29 августа 2021 г.;29 августа 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/132356
IV Всероссийский Форум Молодых Исследователей;Россия, Петрозаводск;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/133406
IV Всероссийская методико-практическая конференция «Современное образование: опыт прошлого, взгляд в будущее»;Россия, Петрозаводск;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/135653
II Международный профессионально-методический конкурс «Перспективные педагогические разработки»;Россия, Петрозаводск;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/136661
II Международный профессионально-методический конкурс «Перспективные педагогические разработки»;Россия, Петрозаводск;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/136661
Международная научно-практическая конференция «Актуальные направления развития науки и образования: традиции и креативность, поисковые исследования и инновации»;Россия, Самара;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;НИЦ «Поволжская научная корпорация» naucorp.ru;conf@naucorp.ru;https://konferencii.ru/info/123311
Международный конкурс «Научная перспектива – 2021»;Россия, Казань;заочная;30 августа 2021 г. — 30 августа 2021 г.;29 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/126261
XCIX Международная научно-практическая конференция «Естественные и технические науки: продуктивное взаимодействие в образовательном процессе»;Россия, Казань;заочная;30 августа 2021 г. — 30 августа 2021 г.;29 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/130806
IV Международная научно-практическая конференция «Россия и мировое сообщество: проблемы демографии, экологии и здоровья населения»;Россия, Пенза;очно-заочная;30 августа 2021 г. — 31 августа 2021 г.;30 августа 2021 г.;Межотраслевой научно-информационный центр Пензенского государственного аграрного университета;mnic@pgau.ru;https://konferencii.ru/info/136613
Международный научно-исследовательский конкурс «Лучшая научная работа 2021»;Россия, Пенза;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138083
II Международная научно-практическая конференция «Молодёжь, наука, образование: актуальные вопросы современности»;Россия, Пенза;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138147
Монография «Актуальные вопросы современной науки и образования»;Россия, Пенза;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138225
Монография «Проблемы взаимодействия человека, общества и природы: концепция устойчивого развития и ее реализация в России»;Россия, Нижний Новгород;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;НОО Профессиональная наука;mail@scipro.ru;https://konferencii.ru/info/127931
Европейское научное обозрение. Выпуск № 7-8/2021;Австрия, Вена;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;Издательство «Премьер Паблишинг», Австрия-Чехия («Premier Publishing» s.r.o.) ;pub@ppublishing.org;https://konferencii.ru/info/106393
Австрийский журнал технических и естественных наук. Выпуск № 7-8/2021;Австрия, Вена;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;"Издательство «Премьер Паблишинг», Австрия-Чехия («Premier Publishing» s.r.o.) 
";pub@ppublishing.org;https://konferencii.ru/info/106395
Австрийский журнал гуманитарных и общественных наук 7-8/2021;Австрия, Вена;заочная;30 августа 2021 г. — 30 августа 2021 г.;30 августа 2021 г.;Издательство «Премьер Паблишинг», Австрия-Чехия («Premier Publishing» s.r.o.);pub@ppublishing.org;https://konferencii.ru/info/133043
XX Международная научно-практическая конференция-конкурс «Интеграционные процессы современной научной мысли»;Россия, Казань;заочная;31 августа 2021 г. — 31 августа 2021 г.;30 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/126257
Международный научный журнал «Научное знание современности» (№ 8/2021);Россия, Казань;заочная;31 августа 2021 г. — 31 августа 2021 г.;31 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/137708
Международный научный журнал «Вестник Науки и Творчества» (№ 8/2021);Россия, Казань;заочная;31 августа 2021 г. — 31 августа 2021 г.;31 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/137709
Международный научный журнал «Science Time» (№ 8/2021);Россия, Казань;заочная;31 августа 2021 г. — 31 августа 2021 г.;31 августа 2021 г.;Общество Науки и Творчества;ontvor@yandex.ru;https://konferencii.ru/info/137710
Научный журнал «Актуальные проблемы педагогики и психологии» ;Россия, Челябинск;очная;31 августа 2021 г. — 31 августа 2021 г.;31 августа 2021 г.;Академия образования и вспитания;vdy-55@mail.ru;https://konferencii.ru/info/118248
Научный журнал «Актуальные проблемы педагогики и психологии»;Россия, Челябинск;очная;31 августа 2021 г. — 31 августа 2021 г.;31 августа 2021 г.;Академия образования и воспитания;vdy-55@mail.ru;https://konferencii.ru/info/126658
Научный журнал «Актуальные проблемы педагогики и психологии» ;Россия, Челябинск;заочная;31 августа 2021 г. — 31 августа 2021 г.;31 августа 2021 г.;Федеральное государственное бюджетное образовательное учреждение высшего образования «Челябинский государственный университет» (ФГБОУ ВО «ЧелГУ»);vdy-55@mail.ru;https://konferencii.ru/info/131543
Международный научно-практический журнал «Филологический аспект»;Россия, Нижний Новгород;заочная;31 августа 2021 г. — 31 августа 2021 г.;31 августа 2021 г.;Научно-издательский центр «Открытое знание»;scipress@mail.ru;https://konferencii.ru/info/124308
Международный научно-практический журнал «Мир педагогики и психологии»;Россия, Нижний Новгород;заочная;31 августа 2021 г. — 31 августа 2021 г.;31 августа 2021 г.;Научно-издательский центр «Открытое знание»;scipress@mail.ru;https://konferencii.ru/info/124309
Международный научно-практический журнал «Филологический аспект. Серия: История, культура и искусство»;Россия, Нижний Новгород;заочная;31 августа 2021 г. — 31 августа 2021 г.;31 августа 2021 г.;Научно-издательский центр «Открытое знание»;scipress@mail.ru;https://konferencii.ru/info/134538
Журнал «Russian Linguistic Bulletin». Выпуск № 3 (27) 2021;Россия, Екатеринбург;заочная;1 сентября 2021 г. — 1 сентября 2021 г.;1 сентября 2021 г.;Журнал «Russian Linguistic Bulletin»;editors@rulb.org;https://konferencii.ru/info/138033
Международный журнал «MEDICUS». Выпуск № 5 (41);Россия, Волгоград;заочная;1 сентября 2021 г. — 1 сентября 2021 г.;1 сентября 2021 г.;Научное обозрение;scimedicus@mail.ru;https://konferencii.ru/info/138169
Научно-практический журнал «Виктимология» (3/2021);Россия, Челябинск;заочная;1 сентября 2021 г. — 30 октября 2021 г.;15 сентября 2015 г.;ООО «Эскуэла», ООО «Южно-Уральский юридический вестник»;victimologiy@mail.ru;https://konferencii.ru/info/112866
VII Международная научно-практическая конференция «Инновационная траектория развития современной науки: становление, развитие, прогнозы»;Россия, Петрозаводск;заочная;2 сентября 2021 г. — 2 сентября 2021 г.;2 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/133348
IV Всероссийская методико-практическая конференция «Образовательные технологии в современном учебно-воспитательном пространстве» ;Россия, Петрозаводск;заочная;2 сентября 2021 г. — 2 сентября 2021 г.;2 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/135714
Всероссийская научно-практическая конференция «Экономика и управление: современные достижения и перспективы развития»;Россия, Омск;заочная;3 сентября 2021 г. — 3 сентября 2021 г.;2 июля 2021 г.;Автономная некоммерческая образовательная организация высшего образования «Сибирский институт бизнеса и информационных технологий»;pnr@sano.ru;https://konferencii.ru/info/137814
XXI Международная научно-практическая конференция «Современная наука: актуальные вопросы, достижения и инновации»;Россия, Пенза;заочная;5 сентября 2021 г. — 5 сентября 2021 г.;5 сентября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/135467
II Международная научно-практическая конференция «Финансы и реальный сектор экономики в современных условиях»;Россия, Пенза;заочная;5 сентября 2021 г. — 5 сентября 2021 г.;5 сентября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/137685
II Международная научно-практическая конференция «Управление качеством образования: актуальные вопросы, достижения и инновации»;Россия, Пенза;заочная;5 сентября 2021 г. — 5 сентября 2021 г.;5 сентября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/137686
II Международная научно-практическая конференция «Правовые основы развития гражданского общества на современном этапе»;Россия, Пенза;заочная;5 сентября 2021 г. — 5 сентября 2021 г.;5 сентября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/137687
Международный научно-исследовательский конкурс «Лига интеллектуалов» ;Россия, Пенза;заочная;5 сентября 2021 г. — 5 сентября 2021 г.;5 сентября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138084
III Международная научно-практическая конференция «Передовое развитие современной науки как драйвер роста экономики и социальной сферы» ;Россия, Петрозаводск;заочная;6 сентября 2021 г. — 6 сентября 2021 г.;6 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/135051
II Всероссийская научно-практическая конференция «Цифровизация: Россия и СНГ в контексте глобальной трансформации»;Россия, Петрозаводск;заочная;6 сентября 2021 г. — 6 сентября 2021 г.;6 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/135715
II Международный научно-исследовательский конкурс «Асademic Success 2021»;Россия, Петрозаводск;заочная;6 сентября 2021 г. — 6 сентября 2021 г.;6 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/137396
Международная научно-техническая конференция «Современные направления и перспективы развития технологий обработки и оборудования в машиностроении 2021» (ICMTMTE 2021);Россия, Севастополь;очная;6 сентября 2021 г. — 10 сентября 2021 г.;10 мая 2021 г.;ФГАОУ ВО «Севастопольский государственный университет» ;icmtmte@gmail.com;https://konferencii.ru/info/136549
Международная научно-техническая конференция «Автоматизация и приборостроение: проблемы, решения» (АППР 2021);Россия, Севастополь;очная;6 сентября 2021 г. — 10 сентября 2021 г.;30 апреля 2021 г.;ФГАОУ ВО «Севастопольский государственный университет» ;m.m.majstrishin@sevsu.ru;https://konferencii.ru/info/136559
XVII Международная научно-техническая конференция «Динамика, надежность и долговечность механических и биомеханических систем»;Россия, Севастополь;очная;6 сентября 2021 г. — 10 сентября 2021 г.;1 мая 2021 г.;ФГАОУ ВО «Севастопольский государственный университет» ;valesan@list.ru;https://konferencii.ru/info/136562
18-ый Международный коллоквиум по теоретическим аспектам вычислений;Казахстан, Нур-Султан;on-line (zoom, skype и др.);6 сентября 2021 г. — 10 сентября 2021 г.;14 мая 2021 г.;Назарбаев Университет (Казахстан);shiloviis@mail.ru;https://konferencii.ru/info/137726
XII Всероссийская научно-практическая конференция «Высокие технологии, наука и образование: актуальные вопросы, достижения и инновации»;Россия, Пенза;заочная;7 сентября 2021 г. — 7 сентября 2021 г.;7 сентября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138148
XI Международная научная конференция «Традиции и современное состояние культуры и искусств»;Беларусь, Минск;очно-заочная;9 сентября 2021 г. — 10 сентября 2021 г.;23 августа 2021 г.;"Национальная академия НАУК Беларуси; Государственное научное учреждение «Центр исследований белорусской культуры, языка и литературы Национальной академии наук Беларуси»";konferens@tut.by;https://konferencii.ru/info/137987
III Международная научно-практическая конференция «Новые вызовы новой науки: опыт теоретического и эмпирического анализа»;Россия, Петрозаводск;заочная;9 сентября 2021 г. — 9 сентября 2021 г.;9 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/135717
Международный лесной форум «Лесные экосистемы как глобальный ресурс биосферы: вызовы, угрозы, пути решения. Forestry – 2021»;Россия, Воронеж;очная;9 сентября 2021 г. — 10 сентября 2021 г.;1 февраля 2021 г.;ФГБОУ ВО «Воронежский государственный лесотехнический университет имени Г.Ф. Морозова»;forestry_vgltu_vrn@mail.ru;https://konferencii.ru/info/136283
Межрегиональная научно-практическая конференция «Современные подходы в лечении заболеваний периферических артерий»;Россия, Курск;очно-заочная;10 сентября 2021 г. — 10 сентября 2021 г.;5 сентября 2021 г.;Кафедра хирургических болезней ИНО ФГБОУ ВО «Курский государственный медицинский университет» Министерства здравоохранения Российской Федерации;gennadiy_bondarev@mail.ru;https://konferencii.ru/info/138188
II Всероссийская научно-практическая конференция «Воротынские чтения. Средневековая Россия: Военный и духовный подвиг предков»;Россия, Вологда;очно-заочная;10 сентября 2021 г. — 12 сентября 2021 г.;3 сентября 2021 г.;"Вологодская областная универсальная научная библиотека им. И.В. Бабушкина; Кирилло-Белозерский государственный историко-архитектурный и художественный музей-заповедник; Вологодский государственный университет";wgunis@mail.ru;https://konferencii.ru/info/136348
Коллективная монография «Актуальные вопросы и векторы развития современной филологии»;Россия, Петрозаводск;заочная;12 сентября 2021 г. — 12 сентября 2021 г.;12 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/138186
VI Международная научно-практическая конференция «Актуальные вопросы истории, философии и права»;Россия, Петрозаводск;заочная;13 сентября 2021 г. — 13 сентября 2021 г.;13 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/132458
VIII Международная научно-практическая конференция «Инновационный дискурс развития современной науки» ;Россия, Петрозаводск;заочная;13 сентября 2021 г. — 13 сентября 2021 г.;13 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/134565
XVI Международная научная конференция «Актуальные вопросы биологической физики и химии» (БФФХ – 2020);Россия, Севастополь;очная;13 сентября 2021 г. — 17 сентября 2021 г.;1 июня 2021 г.;ФГАОУ ВО «Севастопольский государственный университет»;dpvoronin@sevsu.ru;https://konferencii.ru/info/136602
XII Международная научная конференция «Современные методы в теоретической и экспериментальной электрохимии»;Россия, Плёс;очно-заочная;13 сентября 2021 г. — 17 сентября 2021 г.;25 мая 2021 г.;Институт химии растворов им. Г. А. Крестова РАН;elchem2020@yandex.ru;https://konferencii.ru/info/137766
II Международный научно-исследовательский конкурс «Лучшая научно-инновационная работа 2021»;Россия, Петрозаводск;заочная;14 сентября 2021 г. — 14 сентября 2021 г.;14 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/136931
Международная научно-исследовательская конференция по глобальным изменениям окружающей среды: экосистемы, климат, природные ресурсы, человек – International Research Conference on Global Environmental Changes: Ecosystems, Climate, Natural Resources, Humans (GEC 2021);Россия, Барнаул;on-line (zoom, skype и др.);14 сентября 2021 г. — 14 сентября 2021 г.;5 сентября 2021 г.;Ассоциация поддержки научных исследований (г. Барнаул, Россия), Тихоокеанский океанологический институт им. В. И. Ильичева ДВО РАН (г. Владивосток, Россия), Международный государственный экологический институт им. А. Д. Сахарова Белорусского государственного университета (г. Минск, Республика Беларусь).;mail@conferences.science;https://konferencii.ru/info/137212
Всероссийская конференция молодых учёных «Современные проблемы геохимии – 2021»;Россия, Иркутск;очно-заочная;14 сентября 2021 г. — 17 сентября 2021 г.;1 июня 2021 г.;Институт геохимии им А. П. Виноградова СО РАН;confgeochem2021@gmail.com;https://konferencii.ru/info/137430
Сборник научных статей «Альманах КЛИО»;Россия, Москва;заочная;15 сентября 2021 г. — 15 сентября 2021 г.;15 сентября 2021 г.;Общеуниверситетская кафедра всеобщей и российской истории Института гуманитарных наук Московского городского педагогического университета;mpaleolog@mail.ru;https://konferencii.ru/info/137958
Международный научно-исследовательский конкурс «Be rirst»;Россия, Пенза;заочная;15 сентября 2021 г. — 15 сентября 2021 г.;15 сентября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138085
IV Международная научно-практическая конференция «Наука и образование в современном обществе: актуальные вопросы и инновационные исследования»;Россия, Пенза;заочная;15 сентября 2021 г. — 15 сентября 2021 г.;15 сентября 2021 г.;МЦНС «Наука и Просвещение»;konf@naukaip.ru;https://konferencii.ru/info/138149
Журнал «Вестник СГУПС: гуманитарные исследования»;Россия, Новосибирск;заочная;15 сентября 2021 г. — 15 сентября 2021 г.;15 сентября 2021 г.;Сибирский государственный университет путей сообщения;vestnik.sgups.human@yandex.ru;https://konferencii.ru/info/137727
Международный научный журнал «Промышленность и сельское хозяйство» (9/2021);Украина, Макеевка;заочная;15 сентября 2021 г. — 15 сентября 2021 г.;15 сентября 2021 г.;Донбасская аграрная академия;donagra@yandex.ua;https://konferencii.ru/info/137807
Международный научный журнал «Психология человека и общества» (9/2021);Украина, Макеевка;заочная;15 сентября 2021 г. — 15 сентября 2021 г.;15 сентября 2021 г.;Донбасская аграрная академия;donagra@yandex.ua;https://konferencii.ru/info/137808
Международный научный журнал «Правовая позиция» (9/2021);Украина, Макеевка;заочная;15 сентября 2021 г. — 15 сентября 2021 г.;15 сентября 2021 г.;Донбасская аграрная академия;donagra@yandex.ua;https://konferencii.ru/info/137809
XII Международная конференция «Наука и общество – методика и проблемы практического применения»;Канада, Ванкувер;заочная;15 сентября 2021 г. — 15 сентября 2021 г.;14 сентября 2021 г.;Издательство «Премьер Паблишинг», Австрия-Чехия («Premier Publishing» s.r.o.) ;pub@ppublishing.org;https://konferencii.ru/info/121156
V Международная научно-практическая конференция «Состояние и перспективы развития современной науки и образования» ;Россия, Петрозаводск;заочная;16 сентября 2021 г. — 16 сентября 2021 г.;16 сентября 2021 г.;МЦНП «Новая наука», член Международной ассоциации издателей научной литературы «Publishers International Linking Association»;new@sciencen.org;https://konferencii.ru/info/134566
Научно-практическая конференция «Советское искусство и мировое художественное пространство: роль женщины в искусстве ХХ века»;Россия, Санкт-Петербург;очная;16 сентября 2021 г. — 16 сентября 2021 г.;2 сентября 2021 г.;ФГБОУ ВО «Санкт-Петербургская государственная художественно-промышленная академия имени А. Л. Штиглица» ;icep@ghpa.ru;https://konferencii.ru/info/138167
Международная научная конференция «Есенин и литературный процесс первой трети XX века»;Россия, Рязань;очная;16 сентября 2021 г. — 18 сентября 2021 г.;25 августа 2021 г.;"Правительство Рязанской области; Институт мировой литературы имени А.М. Горького РАН; Государственный музей-заповедник С.А. Есенина; Рязанский государственный университет имени С.А. Есенина; Международное Есенинское общество «Радуница»";esenin-konf@rambler.ru;https://konferencii.ru/info/136761
