Название;Место;Дата проведения;Дедлайн;Почта;Организатор;Ссылка
Род Васнецовых  в общественной и культурной жизни России;Россия, Киров;06  декабря -06  декабря ;01  ноября;otechhistory@vshu.kirov.ru;Вятский государственный гуманитарный университет;https://konferen.ru/preview/1011
Межрегиональная научно-практическая конференция «Актуальные проблемы истории Вятско-Камского региона. (Общество. Войны. Историческая память)»;Россия, Киров;20  ноября -21  ноября ;15  октября;otechhistory@vshu.kirov.ru;Вятский государственный гуманитарный университет;https://konferen.ru/preview/1010
II Молодежный форум государственных знаний;Россия, Самарга;03  апреля -06  апреля ;29  марта;iu-molforum@yandex.ru;Институт управленческих технологий и аграрного рынка Самарская ГСХА;https://konferen.ru/preview/1009
Достижения вузовской науки III Международная научно-практическая конференция;Россия, Новосибирск;09  апреля -09  апреля ;09  апреля;monography@ngs.ru;Центр развития научного сотрудничества ( г. Новосибирск);https://konferen.ru/preview/1000
"Международная молодёжная научная школа – универсиада ""Микромир и макромир – 2013""";Россия, Москва;15  апреля -27  апреля ;05  апреля;omnebona@gmail.com;Научно-исследовательский институт ядерной физики им. Д. В. Скобельцына и физический факультет МГУ им. М. В. Ломоносова;https://konferen.ru/preview/999
«Здравоохранение: образование, наука, инновации»;Россия, Рязань;31  мая -31  мая ;30  апреля;conference@rzgmu.ru;Рязанский государственный медицинский университет имени академика И.П. Павлова;https://konferen.ru/preview/998
Инновационные технологии в нейроэндокринологии, нейронауках и гематологии;Россия, Санкт-Петербург;23  мая -25  мая ;01  мая;conference@almazovcentre.ru;Федеральный Центр сердца, крови и эндокринологии им. В.А. Алмазова;https://konferen.ru/preview/997
Курс посвящается музейным фондам;Россия, Санкт-Петербург;01  апреля -05  апреля ;28  марта;kononenko.a@cntiprogress.ru;Центр Научно-технической информации Прогресс;https://konferen.ru/preview/996
«Музейные фонды: формирование, учет, сохранение, использование»;Россия, Санкт-Петербург;01  апреля -05  апреля ;28  марта;client@cntiprogress.ru;Центр Научно-технической Информации Прогресс;https://konferen.ru/preview/995
Круглый стол научного сообщества «Государство. Наука. Бизнес».;Россия, Москва;28  марта -28  марта ;25  марта;nataliy@ano-info.ru;"АНО ""Центр информационно-аналитической и правовой поддержки органов исполнительной власти и правоохранительных структур""";https://konferen.ru/preview/994
Российский национальный конгресс кардиологов;Россия, Санкт-Петербург;25  сентября -27  сентября ;01  июня;rsc.congress@gmail.com;Российское кардиологическое общество;https://konferen.ru/preview/992
Критерии эффективности работы аспирантуры и докторантуры в современных условиях;Россия, Санкт-Петербург;01  апреля -04  апреля ;28  марта;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/988
Повседневность российской провинции. XIX-XXвв.;Россия, Пермь;05  ноября -06  ноября ;15  октября;frolein87@gmail.com;Пермский государственный гуманитарно-педагогический университет;https://konferen.ru/preview/987
Современные проблемы адаптации обучающихся в социально-культурном пространстве образовательного учреждения;Россия, Кемерово;11  апреля -11  апреля ;15  марта;spas@kemguki.ru;Кемеровский государственный университет культуры и искусств;https://konferen.ru/preview/986
Graphicon'2013;Россия, Владивосток;16  сентября -20  сентября ;16  сентября;2013@graphicon.ru;"Научное сообщество ""Графикон"", ИАПУ ДВО РАН, ДВФУ, МГУ, ИПМ";https://konferen.ru/preview/985
Теории оболочек и мембран в механике и биологии: от макро- до наноразмерных структур;Беларусь, Минск;16  сентября -20  сентября ;31  марта;nanoshells@bsu.by;Белорусский государственный университет, г. Минск, Беларусь;https://konferen.ru/preview/984
Международная научно-практическая конференция и школа молодых ученых и студентов «Образование и наука для устойчивого развития»;Россия, Москва;12  марта -14  марта ;01  февраля;ipur@muctr.ru;Институт Химии и проблем устойчивого развития;https://konferen.ru/preview/983
Advanced Carbon NanoStructures;Россия, Санкт-Петербург;01  июля -05  февраля ;01  марта;info@acns2013.org;Ioffe Physical-Technical Institute, St.Petersburg, Russia;https://konferen.ru/preview/982
Современный детский сад-2013;Россия, Киров;01  февраля -14  мая ;13  мая;4@covenok.ru;"АНОО ""Межрегиональный ЦИТО""";https://konferen.ru/preview/980
"Всероссийская медико-биологическая научная конференция молодых ученых ""Фундаментальная наука и клиническая медицина"" 2013";Россия, Санкт-Петербург;20  апреля -20  апреля ;25  марта;science_conferencemfspbgu@mail.ru;"Санкт-Петербургский государственный
университет, Медицинский факультет";https://konferen.ru/preview/979
VI международная, научно-практическая конференция «Криотерапия в России».;Россия, Санкт-Петербург;16  мая -16  мая ;15  апреля;crioterapia2008@rambler.ru;"Санкт- Петербургский национальный исследовательский университет информационных технологий, механики и оптики.
ГБОУ ВПО СЗГМУ им. И.И.Мечникова Минздравсоцразвития России";https://konferen.ru/preview/977
60-летие кафедры криогенной техники  Института холода и биотехнологий СПбНИУ ИТМО;Россия, Санкт-Петербург;22  апреля -22  февраля ;22  марта;youb-kt60@yandex.ru;"Международная Академия Холода 
Санкт-Петербургский национальный исследовательский университет 
информационных технологий, механики и оптики
Институт холода и биотехнологий";https://konferen.ru/preview/976
Развитие и Управление Бизнеса 2013, Ежегодная конференция;Россия, Москва;12  апреля -13  апреля ;11  апреля;nomex155@gmail.com;Nomex  nomexconf.ru;https://konferen.ru/preview/975
"Научный журнал ""Современная экономика: проблемы, тенденции, перспективы""";Россия, Муром;25  февраля -31  декабря ;11  мая;meconomics@mivlgu.ru;Муромский институт Владимирского государственного университета им. А.Г. и Н.Г. Столетовых;https://konferen.ru/preview/973
III Международная конференция Кристаллогенезис и минералогия;Россия, Новосибирск;27  сентября -01  октября ;01  мая;km2013@igm.nsc.ru;Институт геологии и минералогии им. В.С. Соболева СО РАН;https://konferen.ru/preview/972
The 2013 IAGR Annual Convention and 10th International Symposium on Gondwana to Asia;Южная Корея, Тэджон;30  сентября -04  октября ;31  июля;skwon@yonsei.ac.kr;Korea Institute of Geoscience and Mineral Resources, Daejeon, South Korea;https://konferen.ru/preview/970
Beishan Orogenic belt: accretionary tectonics, magmatism, eclogites and granulite complexes;Китай, Хами;22  августа -28  августа ;31  марта;igcp592@gmail.com;Chinese Academy of Sciences;https://konferen.ru/preview/969
Иностранный язык в региональной языковой политике;Россия, Барнаул;25  мая -25  мая ;20  мая;skubnevskaya@math.asu.ru;"ФГБОУ ВПО «Алтайский государственный университет»

кафедра иностранных языков естественнонаучных факультетов";https://konferen.ru/preview/968
Проблемы организации товароснабжения населения: товароведение, экспертиза, технологии производства и продвижения;Россия, Новосибирск;19  марта -19  марта ;19  марта;monography@ngs.ru;Центр развития научного сотрудничества ( г. Новосибирск);https://konferen.ru/preview/967
"""Современные проблемы транспортного комплекса России"" - сборник научных трудов";Россия, Магнитогорск;01  мая -01  июля ;01  мая;ran@logintra.ru;Магнитогорский государственный технический университет им. Г.И. Носова;https://konferen.ru/preview/964
Миссия IB: воспитание межкультурного понимания;Россия, Санкт-Петербург;22  апреля -24  апреля ;01  марта;natalyab@mes.ru;Ассоциации школ Международного Бакалавриата стран Содружества Независимых Государств;https://konferen.ru/preview/963
Актуальные проблемы физической культуры, спорта, туризма и рекреации;Россия, Томск;25  апреля -25  апреля ;04  апреля;studentffk@gmail.com;Факультет физической культуры Томского государственного университета;https://konferen.ru/preview/962
I Международная научная конференция «Стандартные образцы в измерениях и технологиях»;Россия, Екатеринбург;10  сентября -14  сентября ;01  мая;conference@gsso.ru;"ФГУП ""Уральский научно-исследовательский институт метрологии""";https://konferen.ru/preview/961
III-я Международная конференция «Многоуровневая языковая подготовка специалистов в неязыковых вузах: проблемы и перспективы развития»;Россия, Ростов-на-Дону;13  мая -20  мая ;01  мая;olga19_rostov@mail.ru;Южный федеральный университет, кафедра английского языка естетсвенных факультетов;https://konferen.ru/preview/960
Проблемы и перспективы развития системы начального, основного и среднего общего образования;Россия, Новосибирск;21  февраля -22  марта ;21  февраля;monography@ngs.ru;Центр развития научного сотрудничества ( г. Новосибирск);https://konferen.ru/preview/958
"Журнал ""Семейная психология и семейная терапия""";Россия, Москва;20  февраля -01  марта ;01  марта;familytherapy2012@gmail.com;Журнал «Семейная психология и семейная терапия»;https://konferen.ru/preview/957
Международная научно-практическая конференция «Развитие русскоязычного медиапространства: коммуникационные и этические проблемы»;Россия, Москва;26  апреля -27  апреля ;29  марта;lbc.mail@yandex.ru;Факультет журналистики МГУ имени М.В. Ломоносова;https://konferen.ru/preview/956
III Международная научно-практическая конференция «Вейновские чтения в Украине»;Украина, Одесса;10  мая -11  мая ;01  апреля;938587@bt-line.com.ua;Украинская ассоциация по изучению боли;https://konferen.ru/preview/955
Социально-гуманитарная экспертиза: анализ культурных стратегий развития территории;Россия, Екатеринбург;24  апреля -24  апреля ;17  апреля;n.p.konovalova@ustu.ru;УрФУ, Межвузовский центр по преподаванию культурологии в технических вузах РФ;https://konferen.ru/preview/954
Всероссийская научная конференция «Преподавание истории в школе как фактор социализации гражданина России»;Россия, Москва;24  апреля -24  апреля ;15  апреля;org@rusrand.ru;(495) 981-57-03, 981-57-09;https://konferen.ru/preview/952
Индустриальный город в постиндустриальную эпоху;Россия, Новокузнецк;04  апреля -05  апреля ;15  марта;novokuznetsk-400@mail.ru;"Администрация Кемеровской области, Фонд «Новая Евразия»

ФГБОУ ВПО «Кемеровский государственный университет»

Новокузнецкий институт (филиал) ФГБОУ ВПО «Кемеровский государственный университет»";https://konferen.ru/preview/950
История и современность Великого Шелкового пути;Узбекистан, Ташкент;25  марта -25  марта ;15  марта;int.conf@mail.ru;Ташкентский государственный институт востоковедения;https://konferen.ru/preview/943
Современное образование: актуальные педагогические, социально-экономические, географические и психологические установки;Россия, Черногорск;28  марта -29  марта ;25  марта;pahar.leonid@rambler.ru;Научный журнал «Вестник по педагогике и психологии Южной Сибири»;https://konferen.ru/preview/936
"Теоретический и научно-методический журнал ""Известия Академии управления: теория, стратегии, инновации""";Россия, Самара;15  марта -15  марта ;15  марта;vestnik@sagmu.ru;Самарская академия государственного и муниципального управления;https://konferen.ru/preview/935
Актуальные вопросы экономики и финансов в условиях современных  вызовов российского и мирового хозяйства;Россия, Самара;25  марта -25  марта ;15  марта;samin-conf@list.ru;Самарский институт - высшая школа приватизации и предпринимательства;https://konferen.ru/preview/890
"Всероссийская научно-практическая Интернет-конференция ""Лучевая диагностика: проблемы, инновации, решения""";Россия, Воронеж;01  февраля -31  мая ;31  марта;mrt_konf@mail.ru;Воронежская государственная медицинская академия им. Н.Н. Бурденко;https://konferen.ru/preview/889
"Международная научная междисциплинарная конференция студентов, аспирантов и молодых ученых ""Шевченковская весна 2013""";Украина, Киев;18  марта -22  марта ;03  марта;shvesna13@gmail.com;http://shv.univ.kiev.ua/ru/pages/welcome;https://konferen.ru/preview/888
Управление инновациями: теория, методология, практика IV Международная научно-практическая конференция;Россия, Новосибирск;07  февраля -21  февраля ;21  февраля;monography@ngs.ru;Центр развития научного сотрудничества ( г. Новосибирск);https://konferen.ru/preview/887
Научные итоги 2013 года: достижения, проекты, гипотезы III Ежегодная итоговая международная научно-практическая конференция;Россия, Новосибирск;07  февраля -26  декабря ;26  декабря;monography@ngs.ru;Центр развития научного сотрудничества ( г. Новосибирск);https://konferen.ru/preview/885
VIII Международная научная конференция «Акмеология: личностное и профессиональное развитие человека»;Россия, Москва;01  июня -15  июня ;31  мая;akmeo-konf@mail.ru;Академия при Президенте Российской Федерации (РАНХиГС);https://konferen.ru/preview/875
Научная деятельность вуза и коммерциализация ее результатов;Россия, Санкт-Петербург;15  апреля -19  апреля ;10  апреля;client@cntiprogress.ru;"ЦНТИ ""Прогресс""";https://konferen.ru/preview/874
IV международная конференция Российской ассоциации исследователей высшего образования по теме: «Университетские традиции: ресурс или бремя?»;Россия, Москва;26  сентября -28  февраля ;01  апреля;nisaeva@hse.ru;НИУ Высшая школа экономики, Российская экономическая школа;https://konferen.ru/preview/868
Всероссийская научно-практическая конференция «Экологическое образование»;Россия, Москва;12  марта -12  марта ;10  марта;director@paganel.org;ООО «Издательский дом Паганель»;https://konferen.ru/preview/866
International Seminar “Public Values and Politico-Administrative Cultures: Russian and International Contexts”;Россия, Санкт-Петербург;21  июня -22  июня ;01  марта;alues.seminar2013@gmail.com;IPSA RC 48-Administrative Culture, Russian Association of Political Science;https://konferen.ru/preview/864
Международная научная конференц «Новации XXI века: технологии, экономика, творчество»;Россия, Тамбов;25  февраля -26  февраля ;26  февраля;naukacr@yandex.ru;ГНУВНИИТиН Росселхозакадемии;https://konferen.ru/preview/863
Математический дизайн и техническая эстетика;Россия, Москва;26  января -03  мая ;13  февраля;submit@mathdesign.ru;Institute of Design & National Arts;https://konferen.ru/preview/862
Научно-практическая конференция «Метаболический синдром: междисциплинарные проблемы и их решения»;Узбекистан, Ташкент;14  марта -14  марта ;28  февраля;malaka@inbox.ru;Министерство здравоохранения Республики Узбекистан;https://konferen.ru/preview/861
"VII Международная научно-практическая конференция ""Объектные системы - 2013""";Россия, Ростов-на-Дону;10  мая -12  мая ;15  апреля;conf@objectsystems.ru;Южно-Российский государственный технический университет;https://konferen.ru/preview/836
Всероссийский научно-практический симпозиум «Мусульманский мир Российского Востока: традиции и новации»;Россия, Уфа;28  марта -30  марта ;10  марта;conf-rasulev@yandex.ru;Институт истории, языка и литературы Уфимского научного центра РАН;https://konferen.ru/preview/835
Проблемы разработки новых лекарственных средств;Россия, Москва;03  июня -05  июня ;15  апреля;smu-academpharm@mail.ru;;https://konferen.ru/preview/834
Курс повышения квалификации «Теория и методика проведения курса «Уроки развивающей математики» в 5–6-х классах средней школы»;Россия, Киров;01  марта -30  апреля ;28  февраля;3@covenok.ru;Межрегиональный центр инновационных технологий в образовании;https://konferen.ru/preview/833
Курс повышения квалификации «Теория и методика развития творческого мышления и творческих способностей учащихся»;Россия, Киров;16  февраля -31  марта ;15  февраля;3@covenok.ru;Межрегиональный центр инновационных технологий в образовании;https://konferen.ru/preview/832
Инновационное развитие образовательной системы России: проблемы и перспективы;Россия, Челябинск;30  марта -30  марта ;23  марта;nio.uupi@mail.ru;Южно-Уральский профессиональный институт;https://konferen.ru/preview/831
II Международная научно-практическая конференция молодых ученых “Современные технологии выращивания сельскохозяйственных культур”;Украина, Киев;04  апреля -04  апреля ;15  марта;naukovec2012@ukr.net;Институт биоэнергетических культур и сахарной свеклы НААН Украины (бывший Всесоюзный НИИ сахарной свеклы);https://konferen.ru/preview/827
Современная российская массовая культура: проблемы и перспективы;Россия, Челябинск;19  марта -19  марта ;01  марта;nio.uupi@mail.ru;Южно-Уральский профессиональный институт;https://konferen.ru/preview/826
Инклюзивное образование:  генезис, проблемы внедрения и перспективы;Россия, Чебоксары;27  февраля -27  февраля ;24  января;tatyana900@yandex.ru;Чувашский государственный педагогический университет им. И. Я. Яковлева;https://konferen.ru/preview/824
Традиции и новации в иноязычном образовании на современном этапе;Россия, Уссурийск;27  марта -27  марта ;28  февраля;kafedrargl@gmail.com;Кафедра романо-германских языков Школы педагогики Дальневосточного федерального университета;https://konferen.ru/preview/823
Формирование гражданского общества в Российской Федерации и в странах СНГ;Россия, Санкт-Петербург;26  января -26  января ;25  января;info@legal-f.ru;Фонд развития юридической науки;https://konferen.ru/preview/820
II Международная научно-практическая конференция «Инклюзивное образование: практика, исследования, методология»;Россия, Москва;26  июня -28  июня ;15  марта;ipio2013@mail.ru;Департамент образования города Москвы;https://konferen.ru/preview/817
VII Международная научная конференция молодых ученых-медиков;Россия, Курск;01  марта -02  марта ;25  января;makdol@mail.ru;Курский государственный медицинский университет;https://konferen.ru/preview/813
XL Международная научно-практическая конференция «Проблемы современной педагогики в контексте развития международных образовательных стандартов»;Великобритания, Лондон;17  января -22  января ;16  января;office@gisap.eu;Всеукраинский Академический Союз (Украина);https://konferen.ru/preview/811
XII Международная неделя «Диалог культур – культура диалога»;Россия, Кострома;04  ноября -08  ноября ;01  мая;rgc@ksu.edu.ru;Международная научно-исследовательская лаборатория межкультурных исследований;https://konferen.ru/preview/809
Всероссийский конкурс «Управление образовательной средой»;Россия, Челябинск;01  ноября -15  марта ;15  марта;nio.uupi@mail.ru;Южно-Уральский профессиональный институт;https://konferen.ru/preview/806
Всероссийская заочная научно-практическая  конференция «Проблемы и перспективы подготовки управленческих кадров»;Россия, Челябинск;01  ноября -05  февраля ;05  февраля;nio.uupi@mail.ru;Южно-Уральский профессиональный институт;https://konferen.ru/preview/805
V Международная научно-практическая конференция «Воспроизводственный потенциал региона»;Россия, Уфа;30  мая -01  июня ;01  марта;makroras_gu@mail.ru;;https://konferen.ru/preview/803
"Журнал ""Научный обозреватель""";Россия, Москва;15  декабря -20  декабря ;15  декабря;post@nauchoboz.ru;Издатель журнала;https://konferen.ru/preview/801
"Журнал ""Научная перспектива""";Россия, Москва;20  декабря -25  декабря ;20  декабря;post@naupers.ru;Издатель журнала;https://konferen.ru/preview/800
Актуальные проблемы неврологии;Россия, Сыктывкар;04  апреля -05  апреля ;20  февраля;penkina.ru@rambler.ru;Министерство здравоохранения Республики Коми;https://konferen.ru/preview/799
Международная научно-практическая конференция «Академическая наука – проблемы и достижения»;Россия, Москва;10  января -11  января ;10  января;acad@science-publish.ru;Научно-издательский центр «Академический»;https://konferen.ru/preview/798
«Проблемы и перспективы развития экономики в современном обществе»;Россия, Акташ;22  декабря -22  декабря ;20  декабря;npconf@e-union.msk.ru;Московское экономическое объединение;https://konferen.ru/preview/797
II Международная научная конференция студентов, аспирантов и молодых учёных «Географические и геоэкологические исследования в Украине и сопредельных территориях»;Украина, Симферополь;01  апреля -07  апреля ;15  февраля;geokonferenciya@ukr.net;Кафедра ЮНЕСКО «Возобновляемая энергетика и устойчивое развитие», Университет «Овидиус» г. Констанца;https://konferen.ru/preview/796
Научный журнал «Геополитика и экогеодинамика регионов»;Украина, Симферополь;15  января -15  января ;15  января;gorbunov_r@ukr.net;Крымский научный центр НАН Украины и МОНМС Украины, Таврический национальный университет им. В.И. Вернадского;https://konferen.ru/preview/795
V Научно-практическая конференция «Состояние здоровья: медицинские, социальные и психолого-педагогические аспекты»;Россия, Чита;22  апреля -28  апреля ;01  апреля;ISPSmed@mail.ru;Забайкальский государственный  университет;https://konferen.ru/preview/794
Государство. Наука. Бизнес: Механизмы взаимодействия в инновационной сфере;Россия, Москва;13  февраля -13  февраля ;11  февраля;tishkina1@ano-info.ru;Центр информационно-аналитической и правовой поддержки органов исполнительной власти и правоохранительных структур;https://konferen.ru/preview/792
Коллективная монография «Вопросы. Гипотезы. Ответы: наука XXI век»;Россия, Краснодар;29  марта -29  марта ;29  марта;info@apriori-nauka.ru;Научно-издательский центр Априори, г. Краснодар;https://konferen.ru/preview/790
"III заочная  Международная научно-практическая конференция ""Слово. Предложение. Текст: анализ языковой культуры""";Россия, Краснодар;19  марта -19  марта ;19  марта;info@apriori-nauka.ru;Научно-издательский центр Априори, г. Краснодар;https://konferen.ru/preview/787
"III заочная  Международная научно-практическая конференция ""Педагогика и психология: тренды, проблемы, актуальные задачи""";Россия, Краснодар;28  февраля -28  февраля ;28  февраля;info@apriori-nauka.ru;Научно-издательский центр Априори, г. Краснодар;https://konferen.ru/preview/786
Всероссийский конкурс на лучшую научную книгу 2013 года в области юриспруденции;Россия, Челябинск;19  ноября -01  февраля ;01  февраля;UnivChel@mail.ru;Юридический факультет Южно-Уральского государственного университет;https://konferen.ru/preview/783
«Семья в современном российском обществе»;Россия, Волгоград;18  декабря -18  декабря ;12  декабря;lebedevan@list.ru;"Урюпинский филиал «Волгоградского государственного университета»
Факультет социально-гуманитарных и экономических наук";https://konferen.ru/preview/782
Всероссийская заочная научно-практическая конференция «Проблемы и перспективы подготовки управленческих кадров»;Россия, Челябинск;01  ноября -05  февраля ;01  ноября;KolesnikovaLG@chuc.ru;Южно-Уральский профессиональный институт. Кафедра менеджмента и маркетинга.;https://konferen.ru/preview/781
Управление крупной городской агломерацией;Россия, Москва;30  декабря -30  декабря ;30  декабря;dkrzakazru@mail.ru;Научно-теоретический и аналитический журнал «Управление мегаполисом».;https://konferen.ru/preview/780
Международная научно-практическая конференция «21 век: фундаментальная наука и технологии»;Россия, Москва;24  декабря -25  декабря ;20  декабря;21vst@bk.ru;Научно-издательский центр «Академический»;https://konferen.ru/preview/779
Грузинский язык и культура - симпозиум;Грузия, Тбилиси;17  декабря -21  декабря ;17  декабря;workshop@georgiancourses.com;georgiancourses.com;https://konferen.ru/preview/778
"Всероссийская научно-практическая конференция ""Интеллектуальный потенциал Российской науки""";Россия, Смоленск;25  января -26  января ;25  января;gl-conferences@mail.ru;"Научное партнерство ""Квантовый скачок""";https://konferen.ru/preview/777
Международная научная конференция Достижения науки за последние годы. Новые наработки;Польша, Варшава;28  декабря -30  декабря ;28  декабря;5996137@gmail.com;Вестник наука и практика;https://konferen.ru/preview/776
Международный научный медицинский конгресс «Предраковые состояния и изменения желудка»;Великобритания, Лондон;10  декабря -20  декабря ;07  декабря;congress@gisap.eu;Куратор -Институт гастроэнтерологии НАМН Украины;https://konferen.ru/preview/771
Проблема нормативного характера предвыборных обещаний кандидатов в состав выборных органов государственной власти и ответственности таких лиц за заведомо ложные предвыборные обещания;Великобритания, Лондон;20  ноября -27  ноября ;19  ноября;congress@gisap.eu;"Куратор -Американский международный коммерческий арбитражный суд (АМКАС; Вашингтон, США)";https://konferen.ru/preview/770
IV. Международная конференция «Ведение агробизнеса в Украине: перспективы 2013 года»;Украина, Киев;06  декабря -06  декабря ;05  ноября;tooro1985@i.ua;Ассоциация «Украинский клуб аграрного бизнеса» (УКАБ) и агентство «AgriEvent»;https://konferen.ru/preview/769
"Международная заочная научно-практическая конференция ""Наука в 21 веке: глобальные вызовы современности""";Россия, Самара;31  декабря -31  декабря ;31  декабря;csni@yandex.ru;Центр содействия научной интеграции (г.Самара);https://konferen.ru/preview/768
Международная научно-практическая интернет-конференция. «Современная психология и педагогика»;Россия, Челябинск;14  ноября -15  ноября ;14  ноября;vdy-55@mail.ru;Академия образования и воспитания;https://konferen.ru/preview/767
Международная научно-практическая интернет-конференция: «Информационные и коммуникативные технологии в образовании»;Россия, Челябинск;09  ноября -10  ноября ;09  ноября;vdy-55@mail.ru;Академия образования и воспитания;https://konferen.ru/preview/766
Международная научно-практическая интернет-конференция. «Социология, психология и педагогика: студент, аспирант и наука»;Россия, Челябинск;05  ноября -06  ноября ;05  ноября;vdy-55@mail.ru;Академия образования и воспитания г. Челябинск.;https://konferen.ru/preview/765
Проблемы непрерывного профессионального образования в России: состояние и перспективы;Россия, Ростов;07  декабря -07  декабря ;01  декабря;expo@rostconsulting.ru;"Комапния ""Рост-Консалтинг""";https://konferen.ru/preview/764
Spinoza: between the Middle Age and the Early Modern;Россия, Санкт-Петербург;22  ноября -24  ноября ;15  ноября;spinoza_society@mail.ru;"St. Petersburg State University
Faculty of Philosophy";https://konferen.ru/preview/763
Спиноза: между Средневековьем и Новым временем;Россия, Санкт-Петербург;22  ноября -24  ноября ;20  ноября;spinoza_society@mail.ru;"Санкт-Петербургский государственный университет
Философский факультет";https://konferen.ru/preview/761
Международный социальный конгресс;Россия, Москва;27  ноября -27  ноября ;20  ноября;12msk2012@mail.ru;8(499)169 82 15, (499) 169 15 56;https://konferen.ru/preview/759
Международная конференция «Развитие правовой в науки в ХХI веке»;Россия, Санкт-Петербург;09  ноября -10  ноября ;07  ноября;info@legal-foundation.ru;Фонд развития юридической науки;https://konferen.ru/preview/758
"II Международная (заочная) научно-практическая конференция ""Слово. Предложение. Текст: Анализ языковой культуры""";Россия, Краснодар;15  ноября -15  ноября ;15  ноября;info@apriori-nauka.ru;Научно-издательский центр АПРИОРИ, Г. Краснодар;https://konferen.ru/preview/754
XI Всероссийская научно-практическая конференция «Инновационное профессионально-образовательное пространство человека: методология, теория, практика»;Россия, Екатеринбург;29  ноября -30  ноября ;26  ноября;conf_inn_space_2012@mail.ru;Российский государственный профессионально-педагогический университет, Екатеринбург;https://konferen.ru/preview/752
Искусство интерпретации текстов;Россия, Санкт-Петербург;14  ноября -20  ноября ;05  ноября;pr.philosof@gmail.com;Научно-образовательное общество «Интеллектуальные среды;https://konferen.ru/preview/750
Результат-ориентированные подходы, инструменты и технологии в публичном управлении;Украина, Днепропетровск;25  октября -27  октября ;21  октября;mup10@ukr.net;Днепропетровский региональный институт государственного управления;https://konferen.ru/preview/749
"Всероссийская научно-практическая конференция студентов и молодых ученых ""Перспективы развития трудового права""";Россия, Москва;06  ноября -06  ноября ;29  октября;nchetvergova@yandex.ru;РУДН;https://konferen.ru/preview/748
"12 Научно-техническая конференция ""Сварка и диагностика""";Россия, Екатеринбург;04  декабря -06  декабря ;15  ноября;snevezhin@gmail.com;;https://konferen.ru/preview/746
Хирургическая помощь населению Санкт-Петербурга: современное состояние, проблемы и пути решения;Россия, Санкт-Петербург;13  ноября -13  ноября ;05  ноября;info@cdkscenter.ru;Комитет по здравоохранению Санкт-Петербурга, хирургическое общество Пирогова;https://konferen.ru/preview/745
