Название гранта;Дедлайн;Ссылка
Стипендия иностранным студентам университета Hanken School of Economics, Финляндия;" 19 января 2019
Полная стипендия иностранным студентам магистратуры.";https://st-gr.com/?p=3127
Стипендии университета Eastern Mediterranean University, Турция;" 13 января 2019
Университет Eastern Mediterranean University предлагает 50 стипендий иностранным студентам магистратуры и аспирантуры.";https://st-gr.com/?p=3242
Стипендии иностранным студентам университета  Folkwang University, Германия;" 12 декабря 2018
Университет Folkwang University of the Arts предлагает стипендию DAAD иностранным студентам.";https://st-gr.com/?p=2057
Стипендия студентам Lakehead University, Канада;" 1 февраля 2019
Университет Lakehead University может оплатить Ваше обучение, чтобы Вам было проще учиться и Вы могли всецело сфокусироваться на обучении. ";https://st-gr.com/?p=2766
Стипендии правительства Австралии – Endeavour Scholarships;" 15 ноября 2018
Endeavour Scholarships — стипендии и гранты иностранным гражданам на обучение, проведение исследований и программы повышения квалификации в Австралии.";https://st-gr.com/?p=1555
Стипендии на обучение в Японии;" 31 октября 2018
Международный стипендиальный фонд Honjo International Scholarship Foundation предлагает стипендии иностранным студентам на обучение в университетах Японии";https://st-gr.com/?p=5374
Стипендия ВР студентам магистратуры и аспирантуры;" 30 сентября 2018
Компания BP предлагает стипендии студентам, получающим образование в сфере энергетики и экономики.";https://st-gr.com/?p=2206
Оплачиваемая программа обучения;" 7 декабря 2018
Оплачиваемая программа обучения правам человека в  Columbia University, Нью-Йорк, США";https://st-gr.com/?p=5313
Высшее образование онлайн — University of the People (UoPeople);" 4 октября 2018
Университет University of the People (UoPeople) предлагает бесплатное онлайн обучение.";https://st-gr.com/?p=1226
Стипендия правительства Финляндии;" —
Правительство Финляндии предоставляет стипендии на проведение исследований и обучения в аспирантуре гражданам определенных стран (среди перечня — Украина).";https://st-gr.com/?p=2457
Программа RiSE для молодых реформаторов;" 20 сентября 2018
Полностью оплачиваемая шестимесячная программа в Кашмире, Индия, для молодых реформаторов.";https://st-gr.com/?p=5175
Международные стипендии университета Hankuk University, Южная Корея;"  7 сентября 2018
Университет Hankuk University предлагает стипендии иностранным студентам бакалавриата";https://st-gr.com/?p=2546
Грант на обучение по программе IMI International Hospitality Management в школе бизнеса SWISSAM;" 31 августа 2018
10 грантов на обучение на программе Менеджмент международной индустрии гостеприимства. Размер гранта от от 360 000 рублей до скидки в 10% от стоимости обучения в первый год. ";https://st-gr.com/?p=5136
70 грантов на изучение менеджмента и предпринимательства в Высшей школе бизнеса МГУ;" 20 августа 2018
70 грантов, полностью покрывающих стоимость вечернего обучение менеджменту и предпринимательству студентам мехмата и ВМК МГУ ";https://st-gr.com/?p=5138
Полная стипендия правительства Швейцарии;" ноябрь — декабрь 2018
Правительство Швейцарии предоставляет полные стипендии на проведение исследований и обучение в аспирантуре. Студенты-искусствоведы могут получить стипендию на обучение в магистратуре.";https://st-gr.com/?p=2353
Программа Scholarship в Украине;" 15 мая 2018
Программа образовательных грантов для студентов из Украины. ";https://st-gr.com/?p=4275
Cтипендия университета Tel Aviv University, Израиль;" 15 мая 2018
Стипендии аспирантам, постдокам и краткосрочные исследования в университете Tel Aviv University, Израиль";https://st-gr.com/?p=4261
Стипендии правительства Китая;" 30 апреля 2019
Полная стипендия правительства Китая иностранным студентам магистратуры, аспирантуры и научным сотрудникам, желающим принять участие в исследовательских визитах.";https://st-gr.com/?p=3030
Международный молодежный лагерь в Бали;"  15 июня 2018
Принимаются заявки на международный молодежный лагерь Youth Friendship Camp #7 (IYFCamp), который пройдет в Бали, Индонезия с  1 по 5 августа 2018";https://st-gr.com/?p=257
Стипендия на обучение в Фармакологическом университете Китая;" 15 апреля 2018
При поддержке Министерства образования Китая, Китайский Фармакологический университет (China Pharmaceutical University) предлагает стипендию иностранным студентам.";https://st-gr.com/?p=260
Государственные стипендии Литвы на обучение;" 2 мая 2018
Министерство науки и образования Литвы учредило 70 государственных стипендий на обучение в магистратуре одного из Вузов Литвы";https://st-gr.com/?p=1030
Стипендии креативным женщинам;" 14 мая 2018
10 000$ на обучение, стажировка и индивидуальное наставничество кративным женщинам от компании J.Walter Thompson Company ";https://st-gr.com/?p=4193
Стипендии на обучение Венеция, Италия;" 30 апреля 2018
Университет Ca’ Foscari University предлагает 100 стипендий полностью оплачивающих стоимость обучения и 90 грантов. Размер гранта 5000€.";https://st-gr.com/?p=3185
Магистратура в Германии;" 30 апреля 2018
Полная стипендия на обучение на программе магистратуры ”International Media Studies“ в Германии. ";https://st-gr.com/?p=4170
Стипендиальная программа DORA Таллинского технологического университета;" 1 мая 2018
Таллинский технологический университет предлагает 61 стипендию DORA иностранным студентам магистратуры.";https://st-gr.com/?p=1664
Программа Scholarship в Украине;" 15 мая 2018
Программа образовательных грантов для студентов из Украины. ";https://st-gr.com/?p=4275
Cтипендия университета Tel Aviv University, Израиль;" 15 мая 2018
Стипендии аспирантам, постдокам и краткосрочные исследования в университете Tel Aviv University, Израиль";https://st-gr.com/?p=4261
Стипендии правительства Китая;" 30 апреля 2019
Полная стипендия правительства Китая иностранным студентам магистратуры, аспирантуры и научным сотрудникам, желающим принять участие в исследовательских визитах.";https://st-gr.com/?p=3030
Международный молодежный лагерь в Бали;"  15 июня 2018
Принимаются заявки на международный молодежный лагерь Youth Friendship Camp #7 (IYFCamp), который пройдет в Бали, Индонезия с  1 по 5 августа 2018";https://st-gr.com/?p=257
Стипендия на обучение в Фармакологическом университете Китая;" 15 апреля 2018
При поддержке Министерства образования Китая, Китайский Фармакологический университет (China Pharmaceutical University) предлагает стипендию иностранным студентам.";https://st-gr.com/?p=260
Государственные стипендии Литвы на обучение;" 2 мая 2018
Министерство науки и образования Литвы учредило 70 государственных стипендий на обучение в магистратуре одного из Вузов Литвы";https://st-gr.com/?p=1030
Стипендии креативным женщинам;" 14 мая 2018
10 000$ на обучение, стажировка и индивидуальное наставничество кративным женщинам от компании J.Walter Thompson Company ";https://st-gr.com/?p=4193
Стипендии на обучение Венеция, Италия;" 30 апреля 2018
Университет Ca’ Foscari University предлагает 100 стипендий полностью оплачивающих стоимость обучения и 90 грантов. Размер гранта 5000€.";https://st-gr.com/?p=3185
Магистратура в Германии;" 30 апреля 2018
Полная стипендия на обучение на программе магистратуры ”International Media Studies“ в Германии. ";https://st-gr.com/?p=4170
Стипендиальная программа DORA Таллинского технологического университета;" 1 мая 2018
Таллинский технологический университет предлагает 61 стипендию DORA иностранным студентам магистратуры.";https://st-gr.com/?p=1664
Национальная стипендиальная программа Эстонии для иностранных студентов;" 1 мая 2018
Правительство Эстонии предлагает иностранным студентам магистратуры Национальную стипендиальную программу Эстонии.";https://st-gr.com/?p=4157
Стипендия правительства Шри-Ланки;" 16 апреля 2018
Полная стипендия иностарнным студентам бакалавриата на обучение в Шри-Ланке. ";https://st-gr.com/?p=4063
Полные стипендии в Великобритании;" 5 июля 2018
University of Law предлагает стипендии, которые полностью оплачивают обучение на программах GDL, MA Law или LPC.";https://st-gr.com/?p=1209
25 стипендий иностранными студента в Китае;" 30 мая 2018
Тяньцзиньский университет (Tianjin University) предлагает 15 полных и 10 частичных стипендий иностранным студентам бакалавриата, которые поступают на программу химического инжиниринга. ";https://st-gr.com/?p=1252
Стипендия иностранным студентам университета University of Queensland, Австралия;" 1 июня 2018
Университет University of Queensland предлагает стипендии  иностранным студентам факультета естественных наук.";https://st-gr.com/?p=921
Стипендии иностранным студентам;" 1 мая, 11 мая 2018
Вильнюсский университет предлагает ряд стипендий иностранным студентам магистратуры.";https://st-gr.com/?p=1025
Грант на обучение в международной школе бизнеса Hult;" 1 мая 2018
Университет Hult предлагает талантливым студентам, которые демонстрируют высокую успеваемость грант Academic Excellence Scholarship.";https://st-gr.com/?p=953
110 полных стипендий в Испании;" 30 апреля 2018
Университет Хаэн (University of Jaen) предоставляет полные стипендии иностранным студентам бакалавриата и магистратуры.";https://st-gr.com/?p=932
10 стипендий женщинам на обучение в бизнес-школе Henley Business School в Лондоне;" 21 мая 2018
Бизнес-школа Henley Business School предлагает 10 стипендий женщинам, поступающим на программу Executive или Flexible Executive MBA. ";https://st-gr.com/?p=944
Президентская стипендия университета Northwestern Polytechnical University, Китай;" 30 июня 2018
Полная стипендия иностранным студентам, поступающим в бакалавриат, магистратуру или аспирантуру университета Northwestern Polytechnical University, Китай";https://st-gr.com/?p=3865
Полная стипендия университета University of Science and Technology of China, Китай;" 31 марта 2018
Полная стипендия иностранным студентам бакалавриата, магистратуры и аспирантуры университета University of Science and Technology of China ";https://st-gr.com/?p=3754
Стипендия правительства Шри-Ланки;" 16 апреля 2018
Полная стипендия иностарнным студентам бакалавриата на обучение в Шри-Ланке. ";https://st-gr.com/?p=4063
Полные стипендии в Великобритании;" 5 июля 2018
University of Law предлагает стипендии, которые полностью оплачивают обучение на программах GDL, MA Law или LPC.";https://st-gr.com/?p=1209
25 стипендий иностранными студента в Китае;" 30 мая 2018
Тяньцзиньский университет (Tianjin University) предлагает 15 полных и 10 частичных стипендий иностранным студентам бакалавриата, которые поступают на программу химического инжиниринга. ";https://st-gr.com/?p=1252
Стипендия иностранным студентам университета University of Queensland, Австралия;" 1 июня 2018
Университет University of Queensland предлагает стипендии  иностранным студентам факультета естественных наук.";https://st-gr.com/?p=921
Стипендии иностранным студентам;" 1 мая, 11 мая 2018
Вильнюсский университет предлагает ряд стипендий иностранным студентам магистратуры.";https://st-gr.com/?p=1025
Грант на обучение в международной школе бизнеса Hult;" 1 мая 2018
Университет Hult предлагает талантливым студентам, которые демонстрируют высокую успеваемость грант Academic Excellence Scholarship.";https://st-gr.com/?p=953
110 полных стипендий в Испании;" 30 апреля 2018
Университет Хаэн (University of Jaen) предоставляет полные стипендии иностранным студентам бакалавриата и магистратуры.";https://st-gr.com/?p=932
10 стипендий женщинам на обучение в бизнес-школе Henley Business School в Лондоне;" 21 мая 2018
Бизнес-школа Henley Business School предлагает 10 стипендий женщинам, поступающим на программу Executive или Flexible Executive MBA. ";https://st-gr.com/?p=944
Президентская стипендия университета Northwestern Polytechnical University, Китай;" 30 июня 2018
Полная стипендия иностранным студентам, поступающим в бакалавриат, магистратуру или аспирантуру университета Northwestern Polytechnical University, Китай";https://st-gr.com/?p=3865
Полная стипендия университета University of Science and Technology of China, Китай;" 31 марта 2018
Полная стипендия иностранным студентам бакалавриата, магистратуры и аспирантуры университета University of Science and Technology of China ";https://st-gr.com/?p=3754
Стипендия на обучение в Великобритании, в университете Heriot-Watt University;" 30 апреля 2018
Университет Хериота-Уатта (Heriot-Watt University) предлагает стипендии талантливым студентам магистратуры.";https://st-gr.com/?p=868
Степень магистра в Таиланде — Asian Institute of Technology;" 31 марта 2018
Полная стипендия на обучение в магистратуре университета Asian Institute of Technology — Бангкок, Таиланд.";https://st-gr.com/?p=3742
Степень МВА в Австрии;" 31 марта 2018
В честь своего десятилетия университет MODUL University предлагает 2 полных стипендии и 10 частичные стипендий на обучение на программе МВА.";https://st-gr.com/?p=2664
Стипендии в Германии;" 15 июня 2018
Оплата обучения иностранным студентам на программе магистратуры Master of Public Policy в университете University of Erfurt.";https://st-gr.com/?p=3519
Международный конкурс научных грантов Московского педагогического государственного университета;" 22 февраля 2018
Проведение исследований на базе Института перспективных исследований Московского педагогического государственного университета с оплатой всех расходов.";https://st-gr.com/?p=3513
Степень магистра в университете University of Jinan, Китай;" 20 марта 2018
Полная стипендия на обучение в магистратуре университета города Цзинань (Китай) с получением диплома Магистра наук в информатике (MS, Computer Science).";https://st-gr.com/?p=3496
Обучение в магистратуре в России;" 16 февраля 2018
Бесплатное обучение в одном из 500 лучших университетов России со стипендией.";https://st-gr.com/?p=3446
Стипендия NOHA на изучение гуманитарной деятельности в магистратуре;" 31 января 2018
Полная стипендия на изучение изучение гуманитарной деятельности в магистратуре";https://st-gr.com/?p=3437
Стипендия от Всемирной академии наук ученым из развивающихся стран;" 15 марта 2018
Всемирная академия наук (World Academy of Sciences (TWAS)) ежегодно присваивает 9 стипендий размером в 15,000$ ученым из развивающихся стран.";https://st-gr.com/?p=318
Стипендия университета Semyung University, Южная Корея;" 8 декабря 2018
Полная стипендия иностранным студентам на обучение в бакалавриате университета Semyung University, Южная Корея. ";https://st-gr.com/?p=3147
Обучение в аспирантуре университета University of Edinburgh, Великобритания;" 1 февраля 2018
Университет University of Edinburgh предлагает 30 полных стипендий на обучение в аспирантуре.";https://st-gr.com/?p=3114
Государственная стипендия провинции Аньхой, Китай иностранным студентам;" разный в разных университетах
Стипендию могут получить иностранные студенты, поступающие в бакалавриат, магистратуру или аспирантуру.";https://st-gr.com/?p=737
Степень бакалавра в Нью-Йорке, США;" 1 февраля 2018
Студенты, поступившие на первый год обучения на одну из программ бакалавриата имеют возможность получить стипендию размером 8000$, 6000$.";https://st-gr.com/?p=2691
Стипендии в Германии;" 15 июня 2018
Оплата обучения иностранным студентам на программе магистратуры Master of Public Policy в университете University of Erfurt.";https://st-gr.com/?p=3519
Международный конкурс научных грантов Московского педагогического государственного университета;" 22 февраля 2018
Проведение исследований на базе Института перспективных исследований Московского педагогического государственного университета с оплатой всех расходов.";https://st-gr.com/?p=3513
Степень магистра в университете University of Jinan, Китай;" 20 марта 2018
Полная стипендия на обучение в магистратуре университета города Цзинань (Китай) с получением диплома Магистра наук в информатике (MS, Computer Science).";https://st-gr.com/?p=3496
Обучение в магистратуре в России;" 16 февраля 2018
Бесплатное обучение в одном из 500 лучших университетов России со стипендией.";https://st-gr.com/?p=3446
Стипендия NOHA на изучение гуманитарной деятельности в магистратуре;" 31 января 2018
Полная стипендия на изучение изучение гуманитарной деятельности в магистратуре";https://st-gr.com/?p=3437
Стипендия от Всемирной академии наук ученым из развивающихся стран;" 15 марта 2018
Всемирная академия наук (World Academy of Sciences (TWAS)) ежегодно присваивает 9 стипендий размером в 15,000$ ученым из развивающихся стран.";https://st-gr.com/?p=318
Стипендия университета Semyung University, Южная Корея;" 8 декабря 2018
Полная стипендия иностранным студентам на обучение в бакалавриате университета Semyung University, Южная Корея. ";https://st-gr.com/?p=3147
Обучение в аспирантуре университета University of Edinburgh, Великобритания;" 1 февраля 2018
Университет University of Edinburgh предлагает 30 полных стипендий на обучение в аспирантуре.";https://st-gr.com/?p=3114
Государственная стипендия провинции Аньхой, Китай иностранным студентам;" разный в разных университетах
Стипендию могут получить иностранные студенты, поступающие в бакалавриат, магистратуру или аспирантуру.";https://st-gr.com/?p=737
Степень бакалавра в Нью-Йорке, США;" 1 февраля 2018
Студенты, поступившие на первый год обучения на одну из программ бакалавриата имеют возможность получить стипендию размером 8000$, 6000$.";https://st-gr.com/?p=2691
Скидка на обучение в Академии Туризма, Турция;" 12 июля
Скидки на учебу до 30% отличникам и хорошистам в Академии Туризма в Анталии";https://st-gr.com/?p=2102
Стипендия университета Near East University, Турция;" 15 сентября
Ближневосточный университет (Near East University) предлагает стипендию иностранным студентам исследовательских программ магистратуры и аспирантуры.";https://st-gr.com/?p=2061
Полная стипендия университета University of Westminster, Великобритания;" 13 октября
Вестминстерский университет предлагает студентам из развивающихся стран полную стипендию на обучение в магистратуре.";https://st-gr.com/?p=2030
Стипендия женщинам, изучающим архитектуру и дизайн;" 15 сентября
Houzz  предлагает 3 000€ женщинам, имеющим желание изучать архитектуру или дизайн интерьера в Германии.";https://st-gr.com/?p=2006
Стипендия студентам бакалавриата в Китае;" 7 июля 2017
Университет China Three Gorges University предлагает полную и частичную оплату обучения студентам бакалавриата. ";https://st-gr.com/?p=1994
Стипендия студентам бакалавриата и магистратуры университета University of Bristol, Великобритания;" 9 июня
Бристольский университет (University of Bristol), предлагает 6 стипендий иностранным студентам.";https://st-gr.com/?p=1846
Обучение в аспирантуре в Германии;" разный для разных программ
DAAD предлагает базу программ аспирантуры университетов и исследовательских центров Германии для иностранных студентов.";https://st-gr.com/?p=1840
Конкурс грантов на проведение исследований в Японии;" 16 июля
Победители конкурса получат от 5.000$ до 30.000$ на исследования.";https://st-gr.com/?p=1804
Стипендия иностранным студентам университета Chiba University,  Япония от организации Kokudo;" 15 мая
Организация Kokudo предлагает стипендии иностранным студентам, желающим обучаться в Японии.";https://st-gr.com/?p=1547
140 полных и частичных стипендий в Корее;" 7 мая 2017
Университет Инха (Inha University) предлагает 140 полных и частичных стипендий иностранным студентам магистратуры и аспирантуры.";https://st-gr.com/?p=1495
Стипендия в Германии;" 31 марта
Стипендиальная программа Coracle Scholarship – это помощь талантливым студентам, которые имеют желание обучаться в Германии. ";https://st-gr.com/?p=856
Стипендия “Meri Pehchaan”;" 30 апреля
Стипендию “Meri Pehchaan” могут получить студенты, поступающие в любой университет мира. Стипендия оплачивает плату за обучение от 30% до 100%. ";https://st-gr.com/?p=625
Грант на обучение в летней экономической школе от UniCredit;" 15 марта
Организаторы предлагаю 7 грантов для обучения в летней школе, которая пройдет либо в Барселоне Barcelona Graduate School of Economics, либо в Лондоне London School of Economics and Political Science. ";https://st-gr.com/?p=443
Гранты на обучение в аспирантуре;" 15 ноября
Грант полностью покрывает плату за обучение и проведение исследований на  факультете Faculty of Health Science университета Aarhus University. ";https://st-gr.com/?p=386
Бесплатный онлайн курс по разработке программного обеспечения в Java;" 19 февраля 2017
Университет Massachusetts Institute of Technology предлагает пройти бесплатный курс по разработке программного обеспечения в Java. ";https://st-gr.com/?p=340
Стипендия на обучение в США;" 20 июня
Стипендия полностью оплачивает плату за обучение в университете  University of Louisiana (около 6,864$ каждый семестр на протяжении 8 семестров).";https://st-gr.com/?p=242
Постдок в университете University of Toronto;" 1 февраля
Образовательный фонд The Petro Jacyk Educational Foundation принимает заявки на исследовательскую программу имени Петра Яцика, посвященную изучению украинской политики, культуры и общества.";https://st-gr.com/?p=166
